# column 1: model
# column 2: total dust mass
t11_p0.5_q0_oa30_R10_Mcl0.97    1098.58 Msun
t11_p0.5_q0_oa30_R20_Mcl0.97    3877.23 Msun
t11_p0.5_q0_oa30_R30_Mcl0.97    8289.67 Msun
t11_p0.5_q0_oa40_R10_Mcl0.97    1415.67 Msun
t11_p0.5_q0_oa40_R20_Mcl0.97    4997.6 Msun
t11_p0.5_q0_oa40_R30_Mcl0.97    10684.5 Msun
t11_p0.5_q0_oa50_R10_Mcl0.97    1689.61 Msun
t11_p0.5_q0_oa50_R20_Mcl0.97    5965.22 Msun
t11_p0.5_q0_oa50_R30_Mcl0.97    12754.2 Msun
t11_p0.5_q0_oa60_R10_Mcl0.97    1912.21 Msun
t11_p0.5_q0_oa60_R20_Mcl0.97    6752.15 Msun
t11_p0.5_q0_oa60_R30_Mcl0.97    14435.9 Msun
t11_p0.5_q0_oa70_R10_Mcl0.97    2076.91 Msun
t11_p0.5_q0_oa70_R20_Mcl0.97    7333.87 Msun
t11_p0.5_q0_oa70_R30_Mcl0.97    15680.3 Msun
t11_p0.5_q0_oa80_R10_Mcl0.97    2178.21 Msun
t11_p0.5_q0_oa80_R20_Mcl0.97    7692.42 Msun
t11_p0.5_q0_oa80_R30_Mcl0.97    16447.5 Msun
t11_p0.5_q1.5_oa10_R10_Mcl0.97    330.963 Msun
t11_p0.5_q1.5_oa10_R20_Mcl0.97    1166.78 Msun
t11_p0.5_q1.5_oa10_R30_Mcl0.97    2494.95 Msun
t11_p0.5_q1.5_oa20_R10_Mcl0.97    586.66 Msun
t11_p0.5_q1.5_oa20_R20_Mcl0.97    2070.19 Msun
t11_p0.5_q1.5_oa20_R30_Mcl0.97    4426.37 Msun
t11_p0.5_q1.5_oa30_R10_Mcl0.97    774.78 Msun
t11_p0.5_q1.5_oa30_R20_Mcl0.97    2734.92 Msun
t11_p0.5_q1.5_oa30_R30_Mcl0.97    5847.19 Msun
t11_p0.5_q1.5_oa40_R10_Mcl0.97    910.461 Msun
t11_p0.5_q1.5_oa40_R20_Mcl0.97    3214.11 Msun
t11_p0.5_q1.5_oa40_R30_Mcl0.97    6871.75 Msun
t11_p0.5_q1.5_oa50_R10_Mcl0.97    1006.23 Msun
t11_p0.5_q1.5_oa50_R20_Mcl0.97    3552.84 Msun
t11_p0.5_q1.5_oa50_R30_Mcl0.97    7595.76 Msun
t11_p0.5_q1.5_oa60_R10_Mcl0.97    1071.91 Msun
t11_p0.5_q1.5_oa60_R20_Mcl0.97    3785.03 Msun
t11_p0.5_q1.5_oa60_R30_Mcl0.97    8092.27 Msun
t11_p0.5_q1.5_oa70_R10_Mcl0.97    1114.6 Msun
t11_p0.5_q1.5_oa70_R20_Mcl0.97    3935.81 Msun
t11_p0.5_q1.5_oa70_R30_Mcl0.97    8414.78 Msun
t11_p0.5_q1.5_oa80_R10_Mcl0.97    1138.68 Msun
t11_p0.5_q1.5_oa80_R20_Mcl0.97    4020.76 Msun
t11_p0.5_q1.5_oa80_R30_Mcl0.97    8596.64 Msun
t11_p0.5_q1_oa10_R10_Mcl0.97    344.761 Msun
t11_p0.5_q1_oa10_R20_Mcl0.97    1215.4 Msun
t11_p0.5_q1_oa10_R30_Mcl0.97    2598.84 Msun
t11_p0.5_q1_oa20_R10_Mcl0.97    634.592 Msun
t11_p0.5_q1_oa20_R20_Mcl0.97    2239.45 Msun
t11_p0.5_q1_oa20_R30_Mcl0.97    4787.76 Msun
t11_p0.5_q1_oa30_R10_Mcl0.97    865.989 Msun
t11_p0.5_q1_oa30_R20_Mcl0.97    3056.71 Msun
t11_p0.5_q1_oa30_R30_Mcl0.97    6535.27 Msun
t11_p0.5_q1_oa40_R10_Mcl0.97    1045.95 Msun
t11_p0.5_q1_oa40_R20_Mcl0.97    3692.7 Msun
t11_p0.5_q1_oa40_R30_Mcl0.97    7894.86 Msun
t11_p0.5_q1_oa50_R10_Mcl0.97    1181.83 Msun
t11_p0.5_q1_oa50_R20_Mcl0.97    4172.92 Msun
t11_p0.5_q1_oa50_R30_Mcl0.97    8921.89 Msun
t11_p0.5_q1_oa60_R10_Mcl0.97    1280.58 Msun
t11_p0.5_q1_oa60_R20_Mcl0.97    4521.66 Msun
t11_p0.5_q1_oa60_R30_Mcl0.97    9667.75 Msun
t11_p0.5_q1_oa70_R10_Mcl0.97    1347.52 Msun
t11_p0.5_q1_oa70_R20_Mcl0.97    4758.25 Msun
t11_p0.5_q1_oa70_R30_Mcl0.97    10173.2 Msun
t11_p0.5_q1_oa80_R10_Mcl0.97    1386.18 Msun
t11_p0.5_q1_oa80_R20_Mcl0.97    4895.6 Msun
t11_p0.5_q1_oa80_R30_Mcl0.97    10466.8 Msun
t11_p0_q0.5_oa10_R10_Mcl0.97    456.412 Msun
t11_p0_q0.5_oa10_R20_Mcl0.97    1728.56 Msun
t11_p0_q0.5_oa10_R30_Mcl0.97    3823.84 Msun
