Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 3.000E+00 3.000E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.000E+00 = <U> 
     mmp83 = radfield
 1.914E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  8.299E-30  8.524E-19
3.837E+03  8.613E-30  8.766E-19
3.802E+03  8.939E-30  9.015E-19
3.767E+03  9.279E-30  9.271E-19
3.733E+03  9.631E-30  9.535E-19
3.698E+03  9.997E-30  9.807E-19
3.664E+03  1.038E-29  1.009E-18
3.631E+03  1.077E-29  1.037E-18
3.597E+03  1.118E-29  1.067E-18
3.565E+03  1.161E-29  1.098E-18
3.532E+03  1.205E-29  1.129E-18
3.499E+03  1.251E-29  1.161E-18
3.467E+03  1.299E-29  1.195E-18
3.436E+03  1.348E-29  1.229E-18
3.404E+03  1.400E-29  1.264E-18
3.373E+03  1.454E-29  1.300E-18
3.342E+03  1.509E-29  1.338E-18
3.311E+03  1.567E-29  1.376E-18
3.281E+03  1.627E-29  1.416E-18
3.251E+03  1.689E-29  1.457E-18
3.221E+03  1.754E-29  1.499E-18
3.192E+03  1.822E-29  1.542E-18
3.162E+03  1.892E-29  1.587E-18
3.133E+03  1.964E-29  1.633E-18
3.105E+03  2.040E-29  1.680E-18
3.076E+03  2.119E-29  1.729E-18
3.048E+03  2.200E-29  1.779E-18
3.020E+03  2.285E-29  1.830E-18
2.992E+03  2.373E-29  1.883E-18
2.965E+03  2.464E-29  1.938E-18
2.938E+03  2.559E-29  1.994E-18
2.911E+03  2.657E-29  2.052E-18
2.884E+03  2.760E-29  2.111E-18
2.858E+03  2.866E-29  2.173E-18
2.831E+03  2.977E-29  2.236E-18
2.805E+03  3.092E-29  2.301E-18
2.780E+03  3.211E-29  2.368E-18
2.754E+03  3.335E-29  2.436E-18
2.729E+03  3.464E-29  2.507E-18
2.704E+03  3.598E-29  2.581E-18
2.679E+03  3.737E-29  2.656E-18
2.655E+03  3.882E-29  2.734E-18
2.630E+03  4.032E-29  2.813E-18
2.606E+03  4.189E-29  2.896E-18
2.582E+03  4.351E-29  2.981E-18
2.559E+03  4.520E-29  3.068E-18
2.535E+03  4.696E-29  3.158E-18
2.512E+03  4.879E-29  3.251E-18
2.489E+03  5.068E-29  3.346E-18
2.466E+03  5.265E-29  3.444E-18
2.443E+03  5.470E-29  3.546E-18
2.421E+03  5.684E-29  3.650E-18
2.399E+03  5.905E-29  3.757E-18
2.377E+03  6.135E-29  3.868E-18
2.355E+03  6.375E-29  3.982E-18
2.333E+03  6.623E-29  4.100E-18
2.312E+03  6.882E-29  4.221E-18
2.291E+03  7.151E-29  4.345E-18
2.270E+03  7.430E-29  4.474E-18
2.249E+03  7.721E-29  4.606E-18
2.228E+03  8.023E-29  4.742E-18
2.208E+03  8.336E-29  4.883E-18
2.188E+03  8.663E-29  5.027E-18
2.168E+03  9.002E-29  5.176E-18
2.148E+03  9.354E-29  5.329E-18
2.128E+03  9.721E-29  5.487E-18
2.109E+03  1.010E-28  5.650E-18
2.089E+03  1.050E-28  5.818E-18
2.070E+03  1.091E-28  5.990E-18
2.051E+03  1.134E-28  6.168E-18
2.032E+03  1.178E-28  6.352E-18
2.014E+03  1.224E-28  6.540E-18
1.995E+03  1.272E-28  6.735E-18
1.977E+03  1.322E-28  6.935E-18
1.959E+03  1.374E-28  7.141E-18
1.941E+03  1.428E-28  7.353E-18
1.923E+03  1.484E-28  7.571E-18
1.905E+03  1.543E-28  7.797E-18
1.888E+03  1.603E-28  8.029E-18
1.871E+03  1.666E-28  8.268E-18
1.854E+03  1.732E-28  8.514E-18
1.837E+03  1.800E-28  8.767E-18
1.820E+03  1.870E-28  9.028E-18
1.803E+03  1.944E-28  9.297E-18
1.786E+03  2.020E-28  9.575E-18
1.770E+03  2.100E-28  9.860E-18
1.754E+03  2.183E-28  1.015E-17
1.738E+03  2.268E-28  1.046E-17
1.722E+03  2.358E-28  1.077E-17
1.706E+03  2.450E-28  1.109E-17
1.690E+03  2.547E-28  1.142E-17
1.675E+03  2.647E-28  1.176E-17
1.660E+03  2.751E-28  1.211E-17
1.644E+03  2.860E-28  1.247E-17
1.629E+03  2.972E-28  1.285E-17
1.614E+03  3.089E-28  1.323E-17
1.600E+03  3.211E-28  1.362E-17
1.585E+03  3.337E-28  1.403E-17
1.570E+03  3.468E-28  1.445E-17
1.556E+03  3.605E-28  1.488E-17
1.542E+03  3.747E-28  1.532E-17
1.528E+03  3.894E-28  1.578E-17
1.514E+03  4.047E-28  1.625E-17
1.500E+03  4.206E-28  1.673E-17
1.486E+03  4.372E-28  1.723E-17
1.472E+03  4.544E-28  1.775E-17
1.459E+03  4.723E-28  1.827E-17
1.445E+03  4.909E-28  1.882E-17
1.432E+03  5.102E-28  1.938E-17
1.419E+03  5.302E-28  1.996E-17
1.406E+03  5.511E-28  2.055E-17
1.393E+03  5.728E-28  2.117E-17
1.380E+03  5.953E-28  2.180E-17
1.368E+03  6.187E-28  2.245E-17
1.355E+03  6.430E-28  2.311E-17
1.343E+03  6.683E-28  2.380E-17
1.330E+03  6.945E-28  2.451E-17
1.318E+03  7.218E-28  2.524E-17
1.306E+03  7.502E-28  2.599E-17
1.294E+03  7.796E-28  2.676E-17
1.282E+03  8.102E-28  2.756E-17
1.271E+03  8.420E-28  2.838E-17
1.259E+03  8.750E-28  2.922E-17
1.247E+03  9.093E-28  3.009E-17
1.236E+03  9.449E-28  3.098E-17
1.225E+03  9.819E-28  3.190E-17
1.213E+03  1.020E-27  3.284E-17
1.202E+03  1.060E-27  3.381E-17
1.191E+03  1.102E-27  3.481E-17
1.180E+03  1.145E-27  3.584E-17
1.169E+03  1.189E-27  3.690E-17
1.159E+03  1.236E-27  3.799E-17
1.148E+03  1.284E-27  3.911E-17
1.138E+03  1.334E-27  4.026E-17
