Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 3.131E+00 = <U> 
     mmp83 = radfield
 3.273E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  7.772E-30  7.984E-19
3.837E+03  8.066E-30  8.209E-19
3.802E+03  8.370E-30  8.441E-19
3.767E+03  8.687E-30  8.680E-19
3.733E+03  9.015E-30  8.926E-19
3.698E+03  9.356E-30  9.178E-19
3.664E+03  9.710E-30  9.438E-19
3.631E+03  1.008E-29  9.706E-19
3.597E+03  1.046E-29  9.982E-19
3.565E+03  1.086E-29  1.027E-18
3.532E+03  1.127E-29  1.056E-18
3.499E+03  1.170E-29  1.086E-18
3.467E+03  1.214E-29  1.117E-18
3.436E+03  1.260E-29  1.149E-18
3.404E+03  1.308E-29  1.181E-18
3.373E+03  1.358E-29  1.215E-18
3.342E+03  1.410E-29  1.250E-18
3.311E+03  1.463E-29  1.285E-18
3.281E+03  1.519E-29  1.322E-18
3.251E+03  1.577E-29  1.360E-18
3.221E+03  1.637E-29  1.399E-18
3.192E+03  1.700E-29  1.439E-18
3.162E+03  1.765E-29  1.480E-18
3.133E+03  1.832E-29  1.523E-18
3.105E+03  1.902E-29  1.567E-18
3.076E+03  1.975E-29  1.612E-18
3.048E+03  2.051E-29  1.658E-18
3.020E+03  2.129E-29  1.706E-18
2.992E+03  2.211E-29  1.755E-18
2.965E+03  2.295E-29  1.805E-18
2.938E+03  2.383E-29  1.857E-18
2.911E+03  2.474E-29  1.910E-18
2.884E+03  2.568E-29  1.965E-18
2.858E+03  2.667E-29  2.021E-18
2.831E+03  2.769E-29  2.080E-18
2.805E+03  2.875E-29  2.139E-18
2.780E+03  2.985E-29  2.201E-18
2.754E+03  3.100E-29  2.265E-18
