Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E-01 4.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.000E-01 = <U> 
     mmp83 = radfield
 3.776E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  6.361E-30  6.535E-19
3.837E+03  6.600E-30  6.717E-19
3.802E+03  6.847E-30  6.905E-19
3.767E+03  7.104E-30  7.098E-19
3.733E+03  7.370E-30  7.297E-19
3.698E+03  7.647E-30  7.502E-19
3.664E+03  7.934E-30  7.712E-19
3.631E+03  8.233E-30  7.929E-19
3.597E+03  8.542E-30  8.152E-19
3.565E+03  8.864E-30  8.381E-19
3.532E+03  9.197E-30  8.616E-19
3.499E+03  9.544E-30  8.859E-19
3.467E+03  9.903E-30  9.108E-19
3.436E+03  1.028E-29  9.365E-19
3.404E+03  1.066E-29  9.629E-19
3.373E+03  1.107E-29  9.901E-19
3.342E+03  1.148E-29  1.018E-18
3.311E+03  1.192E-29  1.047E-18
3.281E+03  1.237E-29  1.076E-18
3.251E+03  1.284E-29  1.107E-18
3.221E+03  1.332E-29  1.138E-18
3.192E+03  1.382E-29  1.170E-18
3.162E+03  1.435E-29  1.204E-18
3.133E+03  1.489E-29  1.238E-18
3.105E+03  1.545E-29  1.273E-18
3.076E+03  1.604E-29  1.309E-18
3.048E+03  1.665E-29  1.346E-18
3.020E+03  1.728E-29  1.384E-18
2.992E+03  1.793E-29  1.423E-18
2.965E+03  1.861E-29  1.464E-18
2.938E+03  1.932E-29  1.505E-18
2.911E+03  2.005E-29  1.548E-18
2.884E+03  2.081E-29  1.592E-18
2.858E+03  2.159E-29  1.637E-18
2.831E+03  2.241E-29  1.683E-18
2.805E+03  2.326E-29  1.731E-18
2.780E+03  2.414E-29  1.780E-18
2.754E+03  2.506E-29  1.831E-18
2.729E+03  2.601E-29  1.883E-18
2.704E+03  2.700E-29  1.936E-18
2.679E+03  2.802E-29  1.992E-18
2.655E+03  2.909E-29  2.048E-18
2.630E+03  3.020E-29  2.107E-18
2.606E+03  3.134E-29  2.167E-18
2.582E+03  3.254E-29  2.229E-18
2.559E+03  3.377E-29  2.292E-18
2.535E+03  3.506E-29  2.358E-18
2.512E+03  3.640E-29  2.425E-18
2.489E+03  3.778E-29  2.494E-18
2.466E+03  3.922E-29  2.566E-18
2.443E+03  4.072E-29  2.639E-18
2.421E+03  4.227E-29  2.714E-18
2.399E+03  4.388E-29  2.792E-18
2.377E+03  4.556E-29  2.872E-18
2.355E+03  4.729E-29  2.954E-18
2.333E+03  4.910E-29  3.039E-18
2.312E+03  5.097E-29  3.126E-18
2.291E+03  5.292E-29  3.216E-18
2.270E+03  5.494E-29  3.308E-18
2.249E+03  5.704E-29  3.403E-18
2.228E+03  5.922E-29  3.500E-18
2.208E+03  6.148E-29  3.601E-18
2.188E+03  6.383E-29  3.704E-18
2.168E+03  6.627E-29  3.811E-18
2.148E+03  6.881E-29  3.920E-18
2.128E+03  7.144E-29  4.033E-18
2.109E+03  7.417E-29  4.148E-18
2.089E+03  7.700E-29  4.268E-18
2.070E+03  7.995E-29  4.390E-18
2.051E+03  8.301E-29  4.516E-18
2.032E+03  8.618E-29  4.646E-18
2.014E+03  8.948E-29  4.780E-18
1.995E+03  9.290E-29  4.917E-18
1.977E+03  9.645E-29  5.058E-18
1.959E+03  1.001E-28  5.203E-18
1.941E+03  1.040E-28  5.353E-18
1.923E+03  1.079E-28  5.506E-18
1.905E+03  1.121E-28  5.665E-18
1.888E+03  1.164E-28  5.827E-18
1.871E+03  1.208E-28  5.995E-18
1.854E+03  1.254E-28  6.167E-18
1.837E+03  1.302E-28  6.344E-18
1.820E+03  1.352E-28  6.526E-18
1.803E+03  1.404E-28  6.714E-18
1.786E+03  1.457E-28  6.907E-18
1.770E+03  1.513E-28  7.105E-18
1.754E+03  1.571E-28  7.309E-18
1.738E+03  1.631E-28  7.519E-18
1.722E+03  1.693E-28  7.735E-18
1.706E+03  1.758E-28  7.957E-18
1.690E+03  1.825E-28  8.185E-18
1.675E+03  1.895E-28  8.420E-18
1.660E+03  1.968E-28  8.661E-18
1.644E+03  2.043E-28  8.910E-18
1.629E+03  2.121E-28  9.165E-18
1.614E+03  2.202E-28  9.428E-18
1.600E+03  2.286E-28  9.698E-18
1.585E+03  2.373E-28  9.976E-18
1.570E+03  2.463E-28  1.026E-17
1.556E+03  2.557E-28  1.056E-17
1.542E+03  2.655E-28  1.086E-17
1.528E+03  2.756E-28  1.117E-17
1.514E+03  2.861E-28  1.149E-17
1.500E+03  2.970E-28  1.181E-17
1.486E+03  3.083E-28  1.215E-17
1.472E+03  3.201E-28  1.250E-17
1.459E+03  3.322E-28  1.286E-17
1.445E+03  3.449E-28  1.322E-17
1.432E+03  3.580E-28  1.360E-17
1.419E+03  3.716E-28  1.399E-17
1.406E+03  3.858E-28  1.439E-17
1.393E+03  4.004E-28  1.480E-17
1.380E+03  4.156E-28  1.522E-17
1.368E+03  4.314E-28  1.565E-17
1.355E+03  4.478E-28  1.610E-17
1.343E+03  4.648E-28  1.656E-17
1.330E+03  4.824E-28  1.703E-17
1.318E+03  5.007E-28  1.751E-17
1.306E+03  5.197E-28  1.801E-17
1.294E+03  5.394E-28  1.852E-17
1.282E+03  5.598E-28  1.904E-17
1.271E+03  5.809E-28  1.958E-17
1.259E+03  6.029E-28  2.013E-17
1.247E+03  6.256E-28  2.070E-17
1.236E+03  6.492E-28  2.129E-17
1.225E+03  6.737E-28  2.189E-17
1.213E+03  6.991E-28  2.250E-17
1.202E+03  7.254E-28  2.313E-17
1.191E+03  7.527E-28  2.378E-17
1.180E+03  7.810E-28  2.445E-17
1.169E+03  8.103E-28  2.514E-17
1.159E+03  8.407E-28  2.584E-17
1.148E+03  8.723E-28  2.657E-17
1.138E+03  9.049E-28  2.731E-17
1.127E+03  9.388E-28  2.807E-17
1.117E+03  9.739E-28  2.885E-17
1.107E+03  1.010E-27  2.966E-17
1.096E+03  1.048E-27  3.048E-17
1.086E+03  1.087E-27  3.133E-17
1.076E+03  1.128E-27  3.220E-17
1.067E+03  1.170E-27  3.309E-17
1.057E+03  1.213E-27  3.400E-17
1.047E+03  1.258E-27  3.494E-17
1.038E+03  1.305E-27  3.591E-17
1.028E+03  1.353E-27  3.689E-17
1.019E+03  1.403E-27  3.791E-17
1.009E+03  1.455E-27  3.895E-17
1.000E+03  1.509E-27  4.001E-17
9.908E+02  1.564E-27  4.111E-17
9.817E+02  1.622E-27  4.224E-17
9.727E+02  1.682E-27  4.339E-17
9.638E+02  1.744E-27  4.458E-17
9.550E+02  1.808E-27  4.579E-17
9.462E+02  1.874E-27  4.704E-17
9.376E+02  1.943E-27  4.831E-17
9.290E+02  2.014E-27  4.962E-17
9.204E+02  2.087E-27  5.096E-17
9.120E+02  2.164E-27  5.234E-17
9.036E+02  2.242E-27  5.375E-17
8.954E+02  2.324E-27  5.519E-17
8.872E+02  2.408E-27  5.667E-17
8.790E+02  2.495E-27  5.819E-17
