Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E-01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.012E+00 = <U> 
     mmp83 = radfield
 1.895E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
6.252E+03  9.896E-31  1.641E-19
6.194E+03  1.026E-30  1.686E-19
6.138E+03  1.064E-30  1.732E-19
6.081E+03  1.103E-30  1.779E-19
6.026E+03  1.143E-30  1.827E-19
5.970E+03  1.185E-30  1.877E-19
5.916E+03  1.229E-30  1.928E-19
5.861E+03  1.274E-30  1.981E-19
5.808E+03  1.321E-30  2.035E-19
5.754E+03  1.370E-30  2.091E-19
5.702E+03  1.420E-30  2.148E-19
5.649E+03  1.473E-30  2.207E-19
5.598E+03  1.527E-30  2.268E-19
5.546E+03  1.584E-30  2.330E-19
5.495E+03  1.642E-30  2.394E-19
5.445E+03  1.703E-30  2.459E-19
5.395E+03  1.766E-30  2.527E-19
5.346E+03  1.831E-30  2.596E-19
5.297E+03  1.899E-30  2.668E-19
5.248E+03  1.969E-30  2.741E-19
5.200E+03  2.042E-30  2.817E-19
5.152E+03  2.118E-30  2.894E-19
5.105E+03  2.196E-30  2.974E-19
5.058E+03  2.278E-30  3.056E-19
5.012E+03  2.362E-30  3.140E-19
4.966E+03  2.450E-30  3.227E-19
4.920E+03  2.541E-30  3.316E-19
4.875E+03  2.635E-30  3.408E-19
4.831E+03  2.733E-30  3.502E-19
4.786E+03  2.834E-30  3.599E-19
4.742E+03  2.940E-30  3.698E-19
4.699E+03  3.049E-30  3.801E-19
4.656E+03  3.163E-30  3.906E-19
4.613E+03  3.280E-30  4.014E-19
4.571E+03  3.403E-30  4.125E-19
4.529E+03  3.529E-30  4.240E-19
4.487E+03  3.661E-30  4.358E-19
4.446E+03  3.797E-30  4.479E-19
4.406E+03  3.939E-30  4.603E-19
4.365E+03  4.086E-30  4.731E-19
4.325E+03  4.239E-30  4.863E-19
4.285E+03  4.397E-30  4.999E-19
4.246E+03  4.562E-30  5.138E-19
4.207E+03  4.732E-30  5.281E-19
4.169E+03  4.909E-30  5.429E-19
4.130E+03  5.093E-30  5.580E-19
4.093E+03  5.284E-30  5.736E-19
4.055E+03  5.482E-30  5.897E-19
4.018E+03  5.687E-30  6.061E-19
3.981E+03  5.900E-30  6.231E-19
3.945E+03  6.121E-30  6.405E-19
3.908E+03  6.350E-30  6.584E-19
3.873E+03  6.588E-30  6.768E-19
3.837E+03  6.836E-30  6.957E-19
3.802E+03  7.092E-30  7.152E-19
3.767E+03  7.358E-30  7.353E-19
