Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.200E+00 1.200E+00 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.200E+00 = <U> 
     mmp83 = radfield
 1.132E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  7.869E-30  8.084E-19
3.837E+03  8.166E-30  8.311E-19
3.802E+03  8.474E-30  8.546E-19
3.767E+03  8.794E-30  8.787E-19
3.733E+03  9.126E-30  9.035E-19
3.698E+03  9.471E-30  9.291E-19
3.664E+03  9.829E-30  9.554E-19
3.631E+03  1.020E-29  9.825E-19
3.597E+03  1.059E-29  1.010E-18
3.565E+03  1.099E-29  1.039E-18
3.532E+03  1.140E-29  1.068E-18
3.499E+03  1.184E-29  1.099E-18
3.467E+03  1.229E-29  1.130E-18
3.436E+03  1.275E-29  1.162E-18
3.404E+03  1.324E-29  1.195E-18
3.373E+03  1.374E-29  1.229E-18
3.342E+03  1.426E-29  1.264E-18
3.311E+03  1.481E-29  1.300E-18
3.281E+03  1.537E-29  1.338E-18
3.251E+03  1.595E-29  1.376E-18
3.221E+03  1.656E-29  1.415E-18
3.192E+03  1.719E-29  1.456E-18
3.162E+03  1.785E-29  1.497E-18
3.133E+03  1.853E-29  1.540E-18
3.105E+03  1.924E-29  1.584E-18
3.076E+03  1.997E-29  1.630E-18
3.048E+03  2.074E-29  1.676E-18
3.020E+03  2.153E-29  1.725E-18
2.992E+03  2.235E-29  1.774E-18
2.965E+03  2.320E-29  1.825E-18
2.938E+03  2.409E-29  1.877E-18
2.911E+03  2.501E-29  1.931E-18
2.884E+03  2.596E-29  1.986E-18
2.858E+03  2.695E-29  2.043E-18
2.831E+03  2.798E-29  2.102E-18
2.805E+03  2.905E-29  2.162E-18
2.780E+03  3.017E-29  2.224E-18
2.754E+03  3.132E-29  2.288E-18
2.729E+03  3.252E-29  2.354E-18
2.704E+03  3.377E-29  2.422E-18
2.679E+03  3.506E-29  2.492E-18
2.655E+03  3.641E-29  2.564E-18
2.630E+03  3.781E-29  2.638E-18
2.606E+03  3.926E-29  2.714E-18
2.582E+03  4.076E-29  2.792E-18
2.559E+03  4.233E-29  2.873E-18
2.535E+03  4.396E-29  2.956E-18
2.512E+03  4.565E-29  3.042E-18
2.489E+03  4.741E-29  3.130E-18
2.466E+03  4.923E-29  3.220E-18
2.443E+03  5.113E-29  3.314E-18
2.421E+03  5.310E-29  3.410E-18
2.399E+03  5.514E-29  3.509E-18
2.377E+03  5.727E-29  3.611E-18
2.355E+03  5.948E-29  3.716E-18
2.333E+03  6.178E-29  3.824E-18
2.312E+03  6.416E-29  3.935E-18
2.291E+03  6.664E-29  4.049E-18
2.270E+03  6.921E-29  4.167E-18
2.249E+03  7.189E-29  4.289E-18
2.228E+03  7.466E-29  4.413E-18
2.208E+03  7.755E-29  4.542E-18
2.188E+03  8.055E-29  4.674E-18
2.168E+03  8.366E-29  4.811E-18
2.148E+03  8.690E-29  4.951E-18
2.128E+03  9.026E-29  5.095E-18
2.109E+03  9.376E-29  5.244E-18
2.089E+03  9.739E-29  5.397E-18
2.070E+03  1.012E-28  5.555E-18
2.051E+03  1.051E-28  5.717E-18
2.032E+03  1.091E-28  5.884E-18
2.014E+03  1.134E-28  6.056E-18
1.995E+03  1.178E-28  6.233E-18
1.977E+03  1.223E-28  6.415E-18
1.959E+03  1.271E-28  6.603E-18
1.941E+03  1.320E-28  6.795E-18
1.923E+03  1.371E-28  6.994E-18
1.905E+03  1.424E-28  7.199E-18
1.888E+03  1.479E-28  7.409E-18
1.871E+03  1.537E-28  7.626E-18
1.854E+03  1.596E-28  7.849E-18
1.837E+03  1.658E-28  8.079E-18
1.820E+03  1.723E-28  8.315E-18
1.803E+03  1.790E-28  8.559E-18
1.786E+03  1.859E-28  8.809E-18
1.770E+03  1.931E-28  9.067E-18
1.754E+03  2.006E-28  9.333E-18
1.738E+03  2.084E-28  9.606E-18
1.722E+03  2.165E-28  9.887E-18
1.706E+03  2.249E-28  1.018E-17
1.690E+03  2.336E-28  1.048E-17
1.675E+03  2.427E-28  1.078E-17
1.660E+03  2.521E-28  1.110E-17
1.644E+03  2.619E-28  1.142E-17
1.629E+03  2.720E-28  1.176E-17
1.614E+03  2.826E-28  1.210E-17
1.600E+03  2.936E-28  1.246E-17
1.585E+03  3.050E-28  1.282E-17
1.570E+03  3.168E-28  1.320E-17
1.556E+03  3.291E-28  1.358E-17
1.542E+03  3.418E-28  1.398E-17
1.528E+03  3.551E-28  1.439E-17
1.514E+03  3.689E-28  1.481E-17
1.500E+03  3.832E-28  1.524E-17
1.486E+03  3.980E-28  1.569E-17
1.472E+03  4.135E-28  1.615E-17
1.459E+03  4.295E-28  1.662E-17
1.445E+03  4.462E-28  1.711E-17
1.432E+03  4.635E-28  1.761E-17
1.419E+03  4.814E-28  1.812E-17
1.406E+03  5.001E-28  1.865E-17
1.393E+03  5.195E-28  1.920E-17
1.380E+03  5.396E-28  1.976E-17
1.368E+03  5.605E-28  2.034E-17
1.355E+03  5.822E-28  2.093E-17
1.343E+03  6.048E-28  2.154E-17
1.330E+03  6.282E-28  2.217E-17
1.318E+03  6.525E-28  2.282E-17
1.306E+03  6.777E-28  2.348E-17
1.294E+03  7.039E-28  2.416E-17
1.282E+03  7.311E-28  2.487E-17
1.271E+03  7.594E-28  2.559E-17
1.259E+03  7.887E-28  2.634E-17
1.247E+03  8.191E-28  2.710E-17
1.236E+03  8.507E-28  2.789E-17
1.225E+03  8.835E-28  2.870E-17
1.213E+03  9.176E-28  2.953E-17
1.202E+03  9.529E-28  3.039E-17
1.191E+03  9.896E-28  3.127E-17
1.180E+03  1.028E-27  3.218E-17
1.169E+03  1.067E-27  3.311E-17
1.159E+03  1.108E-27  3.407E-17
1.148E+03  1.151E-27  3.505E-17
1.138E+03  1.195E-27  3.606E-17
1.127E+03  1.241E-27  3.710E-17
1.117E+03  1.288E-27  3.817E-17
1.107E+03  1.338E-27  3.927E-17
1.096E+03  1.389E-27  4.040E-17
1.086E+03  1.442E-27  4.156E-17
1.076E+03  1.497E-27  4.276E-17
1.067E+03  1.555E-27  4.398E-17
1.057E+03  1.614E-27  4.524E-17
1.047E+03  1.676E-27  4.654E-17
1.038E+03  1.739E-27  4.787E-17
1.028E+03  1.806E-27  4.924E-17
1.019E+03  1.874E-27  5.064E-17
1.009E+03  1.946E-27  5.209E-17
1.000E+03  2.019E-27  5.357E-17
9.908E+02  2.096E-27  5.510E-17
9.817E+02  2.176E-27  5.666E-17
9.727E+02  2.258E-27  5.828E-17
9.638E+02  2.344E-27  5.993E-17
9.550E+02  2.433E-27  6.163E-17
9.462E+02  2.525E-27  6.338E-17
9.376E+02  2.621E-27  6.517E-17
9.290E+02  2.720E-27  6.701E-17
9.204E+02  2.822E-27  6.891E-17
9.120E+02  2.929E-27  7.085E-17
9.036E+02  3.039E-27  7.284E-17
8.954E+02  3.153E-27  7.489E-17
8.872E+02  3.271E-27  7.698E-17
8.790E+02  3.394E-27  7.914E-17
8.710E+02  3.521E-27  8.135E-17
8.630E+02  3.653E-27  8.362E-17
8.551E+02  3.789E-27  8.594E-17
8.472E+02  3.930E-27  8.833E-17
8.395E+02  4.077E-27  9.078E-17
8.318E+02  4.228E-27  9.329E-17
8.241E+02  4.385E-27  9.586E-17
8.166E+02  4.548E-27  9.850E-17
8.091E+02  4.716E-27  1.012E-16
8.017E+02  4.890E-27  1.040E-16
7.943E+02  5.070E-27  1.068E-16
7.870E+02  5.257E-27  1.098E-16
7.798E+02  5.451E-27  1.127E-16
7.727E+02  5.651E-27  1.158E-16
7.656E+02  5.858E-27  1.190E-16
7.586E+02  6.073E-27  1.222E-16
7.516E+02  6.295E-27  1.255E-16
7.447E+02  6.525E-27  1.289E-16
7.379E+02  6.764E-27  1.324E-16
7.311E+02  7.011E-27  1.360E-16
7.244E+02  7.268E-27  1.397E-16
7.178E+02  7.533E-27  1.434E-16
7.112E+02  7.808E-27  1.473E-16
7.047E+02  8.092E-27  1.513E-16
6.982E+02  8.387E-27  1.553E-16
6.918E+02  8.692E-27  1.595E-16
6.855E+02  9.007E-27  1.638E-16
6.792E+02  9.334E-27  1.682E-16
6.730E+02  9.671E-27  1.726E-16
6.668E+02  1.002E-26  1.772E-16
6.607E+02  1.038E-26  1.819E-16
6.546E+02  1.076E-26  1.868E-16
6.486E+02  1.115E-26  1.918E-16
6.427E+02  1.155E-26  1.969E-16
6.368E+02  1.197E-26  2.021E-16
6.310E+02  1.240E-26  2.075E-16
6.252E+02  1.285E-26  2.130E-16
6.194E+02  1.331E-26  2.187E-16
6.138E+02  1.379E-26  2.245E-16
6.081E+02  1.428E-26  2.304E-16
6.026E+02  1.480E-26  2.365E-16
5.970E+02  1.533E-26  2.428E-16
5.916E+02  1.588E-26  2.492E-16
5.861E+02  1.645E-26  2.557E-16
5.808E+02  1.704E-26  2.625E-16
5.754E+02  1.765E-26  2.694E-16
5.702E+02  1.828E-26  2.764E-16
5.649E+02  1.893E-26  2.837E-16
5.598E+02  1.961E-26  2.911E-16
5.546E+02  2.030E-26  2.987E-16
5.495E+02  2.103E-26  3.065E-16
5.445E+02  2.177E-26  3.145E-16
5.395E+02  2.255E-26  3.227E-16
5.346E+02  2.335E-26  3.310E-16
5.297E+02  2.417E-26  3.396E-16
5.248E+02  2.503E-26  3.484E-16
5.200E+02  2.591E-26  3.574E-16
5.152E+02  2.683E-26  3.667E-16
5.105E+02  2.777E-26  3.761E-16
5.058E+02  2.875E-26  3.858E-16
5.012E+02  2.976E-26  3.957E-16
4.966E+02  3.081E-26  4.058E-16
4.920E+02  3.189E-26  4.162E-16
4.875E+02  3.300E-26  4.268E-16
4.831E+02  3.415E-26  4.376E-16
4.786E+02  3.534E-26  4.487E-16
4.742E+02  3.657E-26  4.601E-16
4.699E+02  3.784E-26  4.717E-16
4.656E+02  3.916E-26  4.836E-16
4.613E+02  4.051E-26  4.957E-16
4.571E+02  4.191E-26  5.082E-16
4.529E+02  4.336E-26  5.209E-16
4.487E+02  4.485E-26  5.339E-16
4.446E+02  4.639E-26  5.471E-16
4.406E+02  4.798E-26  5.607E-16
4.365E+02  4.962E-26  5.746E-16
4.325E+02  5.132E-26  5.887E-16
4.285E+02  5.306E-26  6.032E-16
4.246E+02  5.487E-26  6.180E-16
4.207E+02  5.673E-26  6.331E-16
4.169E+02  5.865E-26  6.485E-16
4.130E+02  6.063E-26  6.643E-16
4.093E+02  6.267E-26  6.804E-16
4.055E+02  6.478E-26  6.968E-16
4.018E+02  6.695E-26  7.136E-16
3.981E+02  6.919E-26  7.307E-16
3.945E+02  7.151E-26  7.482E-16
