Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.123E+01 = <U> 
     mmp83 = radfield
 7.151E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  7.972E-30  8.189E-19
3.837E+03  8.274E-30  8.421E-19
3.802E+03  8.587E-30  8.660E-19
3.767E+03  8.912E-30  8.906E-19
3.733E+03  9.250E-30  9.159E-19
3.698E+03  9.602E-30  9.419E-19
3.664E+03  9.966E-30  9.687E-19
3.631E+03  1.035E-29  9.963E-19
3.597E+03  1.074E-29  1.025E-18
3.565E+03  1.115E-29  1.054E-18
3.532E+03  1.157E-29  1.084E-18
3.499E+03  1.201E-29  1.115E-18
3.467E+03  1.247E-29  1.147E-18
3.436E+03  1.295E-29  1.180E-18
3.404E+03  1.344E-29  1.214E-18
3.373E+03  1.396E-29  1.249E-18
3.342E+03  1.449E-29  1.284E-18
3.311E+03  1.504E-29  1.321E-18
3.281E+03  1.562E-29  1.359E-18
3.251E+03  1.622E-29  1.399E-18
3.221E+03  1.684E-29  1.439E-18
3.192E+03  1.749E-29  1.480E-18
3.162E+03  1.816E-29  1.523E-18
3.133E+03  1.885E-29  1.567E-18
3.105E+03  1.958E-29  1.612E-18
3.076E+03  2.033E-29  1.659E-18
3.048E+03  2.111E-29  1.707E-18
3.020E+03  2.193E-29  1.757E-18
2.992E+03  2.277E-29  1.807E-18
2.965E+03  2.365E-29  1.860E-18
2.938E+03  2.455E-29  1.913E-18
2.911E+03  2.550E-29  1.969E-18
2.884E+03  2.648E-29  2.026E-18
2.858E+03  2.750E-29  2.084E-18
2.831E+03  2.856E-29  2.145E-18
2.805E+03  2.966E-29  2.207E-18
2.780E+03  3.080E-29  2.271E-18
2.754E+03  3.199E-29  2.337E-18
2.729E+03  3.323E-29  2.405E-18
2.704E+03  3.451E-29  2.475E-18
2.679E+03  3.584E-29  2.547E-18
2.655E+03  3.723E-29  2.622E-18
2.630E+03  3.867E-29  2.698E-18
2.606E+03  4.017E-29  2.777E-18
2.582E+03  4.173E-29  2.858E-18
2.559E+03  4.334E-29  2.942E-18
2.535E+03  4.503E-29  3.028E-18
2.512E+03  4.677E-29  3.117E-18
2.489E+03  4.859E-29  3.208E-18
2.466E+03  5.048E-29  3.302E-18
2.443E+03  5.244E-29  3.399E-18
2.421E+03  5.448E-29  3.499E-18
2.399E+03  5.660E-29  3.602E-18
2.377E+03  5.881E-29  3.708E-18
2.355E+03  6.110E-29  3.817E-18
2.333E+03  6.348E-29  3.929E-18
2.312E+03  6.595E-29  4.045E-18
2.291E+03  6.852E-29  4.164E-18
2.270E+03  7.120E-29  4.287E-18
2.249E+03  7.398E-29  4.413E-18
2.228E+03  7.687E-29  4.544E-18
2.208E+03  7.987E-29  4.678E-18
2.188E+03  8.299E-29  4.816E-18
2.168E+03  8.623E-29  4.958E-18
2.148E+03  8.960E-29  5.105E-18
2.128E+03  9.311E-29  5.256E-18
2.109E+03  9.675E-29  5.412E-18
2.089E+03  1.005E-28  5.572E-18
2.070E+03  1.045E-28  5.737E-18
2.051E+03  1.086E-28  5.907E-18
2.032E+03  1.128E-28  6.082E-18
2.014E+03  1.172E-28  6.262E-18
1.995E+03  1.218E-28  6.448E-18
1.977E+03  1.266E-28  6.639E-18
1.959E+03  1.316E-28  6.836E-18
1.941E+03  1.367E-28  7.039E-18
1.923E+03  1.421E-28  7.247E-18
1.905E+03  1.476E-28  7.462E-18
1.888E+03  1.534E-28  7.684E-18
1.871E+03  1.595E-28  7.912E-18
1.854E+03  1.657E-28  8.147E-18
1.837E+03  1.722E-28  8.389E-18
1.820E+03  1.790E-28  8.639E-18
1.803E+03  1.860E-28  8.895E-18
1.786E+03  1.933E-28  9.160E-18
1.770E+03  2.009E-28  9.432E-18
1.754E+03  2.088E-28  9.713E-18
1.738E+03  2.170E-28  1.000E-17
1.722E+03  2.255E-28  1.030E-17
1.706E+03  2.343E-28  1.061E-17
1.690E+03  2.436E-28  1.092E-17
1.675E+03  2.531E-28  1.125E-17
1.660E+03  2.631E-28  1.158E-17
1.644E+03  2.734E-28  1.192E-17
1.629E+03  2.841E-28  1.228E-17
1.614E+03  2.953E-28  1.265E-17
1.600E+03  3.069E-28  1.302E-17
1.585E+03  3.189E-28  1.341E-17
1.570E+03  3.315E-28  1.381E-17
1.556E+03  3.445E-28  1.422E-17
1.542E+03  3.580E-28  1.464E-17
1.528E+03  3.721E-28  1.508E-17
1.514E+03  3.867E-28  1.552E-17
1.500E+03  4.018E-28  1.598E-17
1.486E+03  4.176E-28  1.646E-17
1.472E+03  4.340E-28  1.695E-17
1.459E+03  4.511E-28  1.745E-17
1.445E+03  4.688E-28  1.797E-17
1.432E+03  4.872E-28  1.851E-17
1.419E+03  5.063E-28  1.906E-17
1.406E+03  5.262E-28  1.962E-17
1.393E+03  5.468E-28  2.021E-17
1.380E+03  5.683E-28  2.081E-17
1.368E+03  5.906E-28  2.143E-17
1.355E+03  6.137E-28  2.206E-17
1.343E+03  6.378E-28  2.272E-17
1.330E+03  6.628E-28  2.339E-17
1.318E+03  6.887E-28  2.408E-17
1.306E+03  7.157E-28  2.480E-17
1.294E+03  7.438E-28  2.553E-17
1.282E+03  7.729E-28  2.629E-17
1.271E+03  8.031E-28  2.707E-17
1.259E+03  8.345E-28  2.787E-17
1.247E+03  8.671E-28  2.869E-17
1.236E+03  9.010E-28  2.954E-17
1.225E+03  9.362E-28  3.041E-17
1.213E+03  9.728E-28  3.131E-17
1.202E+03  1.011E-27  3.223E-17
1.191E+03  1.050E-27  3.318E-17
1.180E+03  1.091E-27  3.416E-17
1.169E+03  1.134E-27  3.517E-17
1.159E+03  1.178E-27  3.620E-17
1.148E+03  1.224E-27  3.727E-17
1.138E+03  1.271E-27  3.836E-17
1.127E+03  1.321E-27  3.949E-17
1.117E+03  1.372E-27  4.064E-17
1.107E+03  1.425E-27  4.184E-17
1.096E+03  1.481E-27  4.306E-17
1.086E+03  1.538E-27  4.432E-17
1.076E+03  1.598E-27  4.562E-17
1.067E+03  1.659E-27  4.695E-17
1.057E+03  1.724E-27  4.832E-17
1.047E+03  1.790E-27  4.973E-17
1.038E+03  1.859E-27  5.117E-17
1.028E+03  1.931E-27  5.266E-17
1.019E+03  2.006E-27  5.419E-17
1.009E+03  2.083E-27  5.576E-17
1.000E+03  2.163E-27  5.738E-17
9.908E+02  2.247E-27  5.905E-17
9.817E+02  2.333E-27  6.076E-17
9.727E+02  2.423E-27  6.252E-17
9.638E+02  2.516E-27  6.433E-17
9.550E+02  2.613E-27  6.619E-17
9.462E+02  2.713E-27  6.810E-17
9.376E+02  2.817E-27  7.006E-17
9.290E+02  2.925E-27  7.208E-17
9.204E+02  3.037E-27  7.416E-17
9.120E+02  3.153E-27  7.629E-17
9.036E+02  3.274E-27  7.848E-17
8.954E+02  3.399E-27  8.073E-17
8.872E+02  3.528E-27  8.303E-17
8.790E+02  3.663E-27  8.540E-17
8.710E+02  3.802E-27  8.783E-17
8.630E+02  3.946E-27  9.033E-17
8.551E+02  4.096E-27  9.290E-17
8.472E+02  4.251E-27  9.553E-17
8.395E+02  4.412E-27  9.823E-17
8.318E+02  4.578E-27  1.010E-16
8.241E+02  4.751E-27  1.039E-16
8.166E+02  4.930E-27  1.068E-16
8.091E+02  5.115E-27  1.098E-16
8.017E+02  5.307E-27  1.129E-16
7.943E+02  5.506E-27  1.160E-16
7.870E+02  5.712E-27  1.193E-16
7.798E+02  5.926E-27  1.226E-16
7.727E+02  6.147E-27  1.260E-16
7.656E+02  6.377E-27  1.295E-16
7.586E+02  6.614E-27  1.331E-16
7.516E+02  6.861E-27  1.368E-16
7.447E+02  7.116E-27  1.406E-16
7.379E+02  7.381E-27  1.445E-16
7.311E+02  7.656E-27  1.485E-16
7.244E+02  7.941E-27  1.526E-16
7.178E+02  8.237E-27  1.568E-16
7.112E+02  8.543E-27  1.612E-16
7.047E+02  8.860E-27  1.656E-16
6.982E+02  9.189E-27  1.702E-16
6.918E+02  9.530E-27  1.749E-16
6.855E+02  9.883E-27  1.797E-16
6.792E+02  1.025E-26  1.846E-16
6.730E+02  1.063E-26  1.897E-16
6.668E+02  1.102E-26  1.949E-16
6.607E+02  1.142E-26  2.002E-16
6.546E+02  1.185E-26  2.057E-16
6.486E+02  1.228E-26  2.114E-16
6.427E+02  1.274E-26  2.172E-16
6.368E+02  1.321E-26  2.231E-16
6.310E+02  1.370E-26  2.293E-16
6.252E+02  1.420E-26  2.355E-16
6.194E+02  1.473E-26  2.420E-16
6.138E+02  1.527E-26  2.486E-16
6.081E+02  1.583E-26  2.554E-16
6.026E+02  1.642E-26  2.624E-16
5.970E+02  1.702E-26  2.696E-16
5.916E+02  1.765E-26  2.769E-16
5.861E+02  1.830E-26  2.845E-16
5.808E+02  1.897E-26  2.923E-16
5.754E+02  1.967E-26  3.002E-16
5.702E+02  2.039E-26  3.084E-16
5.649E+02  2.114E-26  3.168E-16
5.598E+02  2.191E-26  3.254E-16
5.546E+02  2.272E-26  3.342E-16
5.495E+02  2.355E-26  3.433E-16
5.445E+02  2.441E-26  3.526E-16
5.395E+02  2.531E-26  3.622E-16
5.346E+02  2.623E-26  3.720E-16
5.297E+02  2.719E-26  3.820E-16
5.248E+02  2.818E-26  3.924E-16
5.200E+02  2.921E-26  4.030E-16
5.152E+02  3.028E-26  4.138E-16
5.105E+02  3.138E-26  4.250E-16
5.058E+02  3.253E-26  4.364E-16
5.012E+02  3.371E-26  4.482E-16
4.966E+02  3.493E-26  4.602E-16
4.920E+02  3.620E-26  4.725E-16
4.875E+02  3.752E-26  4.852E-16
4.831E+02  3.888E-26  4.982E-16
4.786E+02  4.029E-26  5.115E-16
4.742E+02  4.174E-26  5.251E-16
4.699E+02  4.325E-26  5.391E-16
4.656E+02  4.481E-26  5.534E-16
4.613E+02  4.643E-26  5.681E-16
4.571E+02  4.810E-26  5.832E-16
4.529E+02  4.983E-26  5.986E-16
4.487E+02  5.162E-26  6.144E-16
4.446E+02  5.347E-26  6.307E-16
4.406E+02  5.539E-26  6.473E-16
4.365E+02  5.737E-26  6.643E-16
4.325E+02  5.942E-26  6.817E-16
4.285E+02  6.154E-26  6.996E-16
4.246E+02  6.374E-26  7.179E-16
4.207E+02  6.600E-26  7.366E-16
