Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         8 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 4.000E+00 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 4.051E+01 = <U> 
     mmp83 = radfield
 2.580E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  1.077E-29  1.106E-18
3.837E+03  1.118E-29  1.138E-18
3.802E+03  1.161E-29  1.171E-18
3.767E+03  1.205E-29  1.204E-18
3.733E+03  1.251E-29  1.239E-18
3.698E+03  1.299E-29  1.274E-18
3.664E+03  1.348E-29  1.311E-18
3.631E+03  1.400E-29  1.348E-18
3.597E+03  1.454E-29  1.387E-18
3.565E+03  1.509E-29  1.427E-18
3.532E+03  1.567E-29  1.468E-18
3.499E+03  1.627E-29  1.511E-18
3.467E+03  1.690E-29  1.554E-18
3.436E+03  1.755E-29  1.599E-18
3.404E+03  1.822E-29  1.645E-18
3.373E+03  1.892E-29  1.693E-18
3.342E+03  1.965E-29  1.742E-18
3.311E+03  2.041E-29  1.793E-18
3.281E+03  2.120E-29  1.845E-18
3.251E+03  2.202E-29  1.899E-18
3.221E+03  2.287E-29  1.954E-18
3.192E+03  2.375E-29  2.011E-18
3.162E+03  2.467E-29  2.069E-18
3.133E+03  2.562E-29  2.130E-18
3.105E+03  2.662E-29  2.192E-18
3.076E+03  2.765E-29  2.256E-18
3.048E+03  2.872E-29  2.322E-18
3.020E+03  2.984E-29  2.390E-18
2.992E+03  3.099E-29  2.460E-18
2.965E+03  3.219E-29  2.532E-18
2.938E+03  3.344E-29  2.606E-18
2.911E+03  3.474E-29  2.682E-18
2.884E+03  3.608E-29  2.760E-18
2.858E+03  3.748E-29  2.841E-18
2.831E+03  3.894E-29  2.925E-18
2.805E+03  4.046E-29  3.011E-18
2.780E+03  4.203E-29  3.099E-18
2.754E+03  4.367E-29  3.190E-18
2.729E+03  4.537E-29  3.284E-18
2.704E+03  4.714E-29  3.381E-18
2.679E+03  4.898E-29  3.481E-18
2.655E+03  5.089E-29  3.583E-18
2.630E+03  5.288E-29  3.689E-18
2.606E+03  5.494E-29  3.798E-18
2.582E+03  5.709E-29  3.911E-18
2.559E+03  5.933E-29  4.027E-18
2.535E+03  6.165E-29  4.146E-18
2.512E+03  6.407E-29  4.269E-18
2.489E+03  6.658E-29  4.396E-18
2.466E+03  6.920E-29  4.526E-18
2.443E+03  7.191E-29  4.661E-18
2.421E+03  7.474E-29  4.800E-18
2.399E+03  7.768E-29  4.943E-18
2.377E+03  8.073E-29  5.090E-18
2.355E+03  8.391E-29  5.242E-18
2.333E+03  8.722E-29  5.398E-18
2.312E+03  9.065E-29  5.560E-18
2.291E+03  9.423E-29  5.726E-18
2.270E+03  9.794E-29  5.897E-18
2.249E+03  1.018E-28  6.074E-18
2.228E+03  1.058E-28  6.256E-18
2.208E+03  1.100E-28  6.443E-18
2.188E+03  1.144E-28  6.636E-18
2.168E+03  1.189E-28  6.836E-18
2.148E+03  1.236E-28  7.041E-18
2.128E+03  1.285E-28  7.252E-18
2.109E+03  1.336E-28  7.470E-18
2.089E+03  1.388E-28  7.695E-18
2.070E+03  1.443E-28  7.927E-18
2.051E+03  1.501E-28  8.165E-18
2.032E+03  1.560E-28  8.411E-18
2.014E+03  1.622E-28  8.665E-18
1.995E+03  1.686E-28  8.926E-18
1.977E+03  1.753E-28  9.195E-18
1.959E+03  1.823E-28  9.472E-18
1.941E+03  1.895E-28  9.757E-18
1.923E+03  1.971E-28  1.005E-17
1.905E+03  2.049E-28  1.036E-17
1.888E+03  2.130E-28  1.067E-17
1.871E+03  2.215E-28  1.099E-17
1.854E+03  2.303E-28  1.132E-17
1.837E+03  2.395E-28  1.167E-17
1.820E+03  2.490E-28  1.202E-17
1.803E+03  2.589E-28  1.238E-17
1.786E+03  2.692E-28  1.276E-17
1.770E+03  2.799E-28  1.314E-17
1.754E+03  2.911E-28  1.354E-17
1.738E+03  3.027E-28  1.395E-17
1.722E+03  3.147E-28  1.438E-17
1.706E+03  3.273E-28  1.481E-17
1.690E+03  3.403E-28  1.526E-17
1.675E+03  3.539E-28  1.572E-17
1.660E+03  3.680E-28  1.620E-17
1.644E+03  3.827E-28  1.669E-17
1.629E+03  3.980E-28  1.720E-17
1.614E+03  4.139E-28  1.772E-17
1.600E+03  4.304E-28  1.826E-17
1.585E+03  4.476E-28  1.882E-17
1.570E+03  4.654E-28  1.939E-17
1.556E+03  4.840E-28  1.998E-17
1.542E+03  5.033E-28  2.058E-17
1.528E+03  5.234E-28  2.121E-17
1.514E+03  5.443E-28  2.185E-17
1.500E+03  5.660E-28  2.252E-17
1.486E+03  5.886E-28  2.320E-17
1.472E+03  6.122E-28  2.391E-17
1.459E+03  6.366E-28  2.464E-17
1.445E+03  6.621E-28  2.538E-17
1.432E+03  6.885E-28  2.616E-17
1.419E+03  7.161E-28  2.695E-17
1.406E+03  7.447E-28  2.777E-17
1.393E+03  7.745E-28  2.862E-17
1.380E+03  8.054E-28  2.949E-17
1.368E+03  8.376E-28  3.039E-17
1.355E+03  8.711E-28  3.131E-17
1.343E+03  9.059E-28  3.227E-17
1.330E+03  9.421E-28  3.325E-17
1.318E+03  9.798E-28  3.426E-17
1.306E+03  1.019E-27  3.530E-17
1.294E+03  1.060E-27  3.638E-17
1.282E+03  1.102E-27  3.748E-17
1.271E+03  1.146E-27  3.862E-17
1.259E+03  1.192E-27  3.980E-17
1.247E+03  1.239E-27  4.101E-17
1.236E+03  1.289E-27  4.225E-17
1.225E+03  1.340E-27  4.354E-17
1.213E+03  1.394E-27  4.486E-17
1.202E+03  1.449E-27  4.622E-17
1.191E+03  1.507E-27  4.762E-17
1.180E+03  1.567E-27  4.907E-17
1.169E+03  1.630E-27  5.056E-17
1.159E+03  1.695E-27  5.209E-17
1.148E+03  1.762E-27  5.367E-17
1.138E+03  1.832E-27  5.529E-17
1.127E+03  1.905E-27  5.697E-17
1.117E+03  1.981E-27  5.869E-17
1.107E+03  2.060E-27  6.047E-17
1.096E+03  2.142E-27  6.230E-17
1.086E+03  2.227E-27  6.418E-17
1.076E+03  2.315E-27  6.612E-17
1.067E+03  2.407E-27  6.811E-17
1.057E+03  2.503E-27  7.017E-17
1.047E+03  2.602E-27  7.228E-17
1.038E+03  2.706E-27  7.446E-17
1.028E+03  2.813E-27  7.670E-17
1.019E+03  2.924E-27  7.901E-17
1.009E+03  3.040E-27  8.138E-17
1.000E+03  3.160E-27  8.383E-17
9.908E+02  3.285E-27  8.635E-17
9.817E+02  3.416E-27  8.895E-17
9.727E+02  3.551E-27  9.162E-17
9.638E+02  3.691E-27  9.438E-17
9.550E+02  3.837E-27  9.721E-17
9.462E+02  3.989E-27  1.001E-16
9.376E+02  4.147E-27  1.031E-16
9.290E+02  4.310E-27  1.062E-16
9.204E+02  4.481E-27  1.094E-16
9.120E+02  4.657E-27  1.127E-16
9.036E+02  4.841E-27  1.160E-16
8.954E+02  5.031E-27  1.195E-16
8.872E+02  5.229E-27  1.231E-16
8.790E+02  5.435E-27  1.267E-16
8.710E+02  5.648E-27  1.305E-16
8.630E+02  5.869E-27  1.344E-16
8.551E+02  6.099E-27  1.383E-16
8.472E+02  6.338E-27  1.424E-16
8.395E+02  6.586E-27  1.466E-16
8.318E+02  6.843E-27  1.510E-16
8.241E+02  7.110E-27  1.554E-16
8.166E+02  7.387E-27  1.600E-16
8.091E+02  7.675E-27  1.647E-16
8.017E+02  7.974E-27  1.696E-16
7.943E+02  8.284E-27  1.745E-16
7.870E+02  8.605E-27  1.797E-16
7.798E+02  8.939E-27  1.849E-16
7.727E+02  9.286E-27  1.903E-16
7.656E+02  9.646E-27  1.959E-16
7.586E+02  1.002E-26  2.016E-16
7.516E+02  1.041E-26  2.075E-16
7.447E+02  1.081E-26  2.135E-16
7.379E+02  1.123E-26  2.198E-16
7.311E+02  1.166E-26  2.262E-16
7.244E+02  1.212E-26  2.328E-16
7.178E+02  1.259E-26  2.396E-16
7.112E+02  1.307E-26  2.466E-16
7.047E+02  1.358E-26  2.538E-16
6.982E+02  1.410E-26  2.612E-16
6.918E+02  1.465E-26  2.689E-16
6.855E+02  1.522E-26  2.767E-16
6.792E+02  1.581E-26  2.848E-16
6.730E+02  1.642E-26  2.930E-16
6.668E+02  1.705E-26  3.015E-16
6.607E+02  1.770E-26  3.103E-16
6.546E+02  1.839E-26  3.193E-16
6.486E+02  1.910E-26  3.286E-16
6.427E+02  1.984E-26  3.382E-16
6.368E+02  2.061E-26  3.481E-16
6.310E+02  2.141E-26  3.583E-16
6.252E+02  2.224E-26  3.688E-16
6.194E+02  2.310E-26  3.795E-16
6.138E+02  2.399E-26  3.906E-16
6.081E+02  2.492E-26  4.020E-16
6.026E+02  2.589E-26  4.138E-16
5.970E+02  2.689E-26  4.259E-16
5.916E+02  2.793E-26  4.383E-16
5.861E+02  2.901E-26  4.511E-16
5.808E+02  3.014E-26  4.643E-16
5.754E+02  3.131E-26  4.779E-16
5.702E+02  3.252E-26  4.918E-16
5.649E+02  3.378E-26  5.062E-16
5.598E+02  3.509E-26  5.210E-16
5.546E+02  3.645E-26  5.362E-16
5.495E+02  3.786E-26  5.519E-16
5.445E+02  3.933E-26  5.680E-16
5.395E+02  4.085E-26  5.846E-16
5.346E+02  4.243E-26  6.017E-16
5.297E+02  4.408E-26  6.193E-16
5.248E+02  4.579E-26  6.374E-16
5.200E+02  4.756E-26  6.560E-16
5.152E+02  4.940E-26  6.752E-16
5.105E+02  5.132E-26  6.949E-16
5.058E+02  5.330E-26  7.152E-16
5.012E+02  5.537E-26  7.361E-16
4.966E+02  5.751E-26  7.576E-16
4.920E+02  5.974E-26  7.797E-16
4.875E+02  6.205E-26  8.024E-16
4.831E+02  6.445E-26  8.258E-16
4.786E+02  6.694E-26  8.499E-16
4.742E+02  6.953E-26  8.746E-16
4.699E+02  7.221E-26  9.001E-16
4.656E+02  7.500E-26  9.263E-16
4.613E+02  7.790E-26  9.533E-16
4.571E+02  8.091E-26  9.810E-16
4.529E+02  8.403E-26  1.010E-15
4.487E+02  8.727E-26  1.039E-15
4.446E+02  9.064E-26  1.069E-15
4.406E+02  9.413E-26  1.100E-15
4.365E+02  9.775E-26  1.132E-15
4.325E+02  1.015E-25  1.165E-15
4.285E+02  1.054E-25  1.198E-15
4.246E+02  1.095E-25  1.233E-15
4.207E+02  1.137E-25  1.269E-15
4.169E+02  1.181E-25  1.305E-15
4.130E+02  1.226E-25  1.343E-15
4.093E+02  1.273E-25  1.382E-15
4.055E+02  1.322E-25  1.422E-15
4.018E+02  1.373E-25  1.463E-15
3.981E+02  1.425E-25  1.505E-15
3.945E+02  1.480E-25  1.548E-15
3.908E+02  1.537E-25  1.593E-15
3.873E+02  1.596E-25  1.639E-15
3.837E+02  1.657E-25  1.686E-15
3.802E+02  1.720E-25  1.735E-15
3.767E+02  1.786E-25  1.784E-15
3.733E+02  1.854E-25  1.836E-15
3.698E+02  1.925E-25  1.888E-15
3.664E+02  1.998E-25  1.942E-15
3.631E+02  2.075E-25  1.998E-15
3.597E+02  2.153E-25  2.055E-15
3.565E+02  2.235E-25  2.114E-15
3.532E+02  2.320E-25  2.174E-15
3.499E+02  2.408E-25  2.236E-15
3.467E+02  2.500E-25  2.299E-15
3.436E+02  2.595E-25  2.364E-15
3.404E+02  2.693E-25  2.432E-15
3.373E+02  2.795E-25  2.500E-15
3.342E+02  2.900E-25  2.571E-15
3.311E+02  3.010E-25  2.644E-15
3.281E+02  3.123E-25  2.718E-15
3.251E+02  3.240E-25  2.794E-15
3.221E+02  3.362E-25  2.873E-15
3.192E+02  3.489E-25  2.953E-15
3.162E+02  3.619E-25  3.036E-15
3.133E+02  3.754E-25  3.120E-15
3.105E+02  3.895E-25  3.207E-15
3.076E+02  4.040E-25  3.297E-15
3.048E+02  4.191E-25  3.388E-15
3.020E+02  4.347E-25  3.482E-15
2.992E+02  4.508E-25  3.578E-15
2.965E+02  4.675E-25  3.677E-15
2.938E+02  4.849E-25  3.778E-15
2.911E+02  5.028E-25  3.882E-15
2.884E+02  5.213E-25  3.988E-15
2.858E+02  5.405E-25  4.097E-15
2.831E+02  5.604E-25  4.209E-15
2.805E+02  5.809E-25  4.323E-15
2.780E+02  6.021E-25  4.440E-15
2.754E+02  6.242E-25  4.560E-15
2.729E+02  6.469E-25  4.683E-15
2.704E+02  6.706E-25  4.810E-15
2.679E+02  6.951E-25  4.940E-15
2.655E+02  7.205E-25  5.073E-15
2.630E+02  7.467E-25  5.210E-15
2.606E+02  7.738E-25  5.350E-15
2.582E+02  8.019E-25  5.493E-15
2.559E+02  8.306E-25  5.637E-15
2.535E+02  8.603E-25  5.785E-15
2.512E+02  8.907E-25  5.935E-15
2.489E+02  9.215E-25  6.084E-15
2.466E+02  9.525E-25  6.231E-15
2.443E+02  9.842E-25  6.379E-15
2.421E+02  1.017E-24  6.529E-15
2.399E+02  1.050E-24  6.680E-15
2.377E+02  1.083E-24  6.829E-15
2.355E+02  1.117E-24  6.979E-15
2.333E+02  1.152E-24  7.132E-15
2.312E+02  1.188E-24  7.288E-15
2.291E+02  1.225E-24  7.447E-15
2.270E+02  1.263E-24  7.607E-15
2.249E+02  1.302E-24  7.770E-15
2.228E+02  1.342E-24  7.935E-15
2.208E+02  1.383E-24  8.103E-15
2.188E+02  1.425E-24  8.272E-15
2.168E+02  1.469E-24  8.445E-15
2.148E+02  1.513E-24  8.619E-15
2.128E+02  1.558E-24  8.796E-15
2.109E+02  1.605E-24  8.975E-15
2.089E+02  1.652E-24  9.155E-15
2.070E+02  1.701E-24  9.339E-15
2.051E+02  1.750E-24  9.522E-15
2.032E+02  1.801E-24  9.710E-15
2.014E+02  1.853E-24  9.899E-15
1.995E+02  1.906E-24  1.009E-14
1.977E+02  1.961E-24  1.028E-14
1.959E+02  2.016E-24  1.048E-14
1.941E+02  2.073E-24  1.067E-14
1.923E+02  2.131E-24  1.087E-14
1.905E+02  2.191E-24  1.107E-14
1.888E+02  2.251E-24  1.127E-14
1.871E+02  2.313E-24  1.148E-14
1.854E+02  2.377E-24  1.168E-14
1.837E+02  2.441E-24  1.189E-14
1.820E+02  2.507E-24  1.210E-14
1.803E+02  2.574E-24  1.231E-14
1.786E+02  2.643E-24  1.252E-14
1.770E+02  2.713E-24  1.274E-14
1.754E+02  2.784E-24  1.295E-14
1.738E+02  2.857E-24  1.317E-14
1.722E+02  2.931E-24  1.339E-14
1.706E+02  3.006E-24  1.361E-14
1.690E+02  3.084E-24  1.383E-14
1.675E+02  3.163E-24  1.405E-14
1.660E+02  3.243E-24  1.428E-14
1.644E+02  3.325E-24  1.450E-14
1.629E+02  3.409E-24  1.473E-14
1.614E+02  3.494E-24  1.496E-14
1.600E+02  3.582E-24  1.520E-14
1.585E+02  3.671E-24  1.543E-14
1.570E+02  3.763E-24  1.567E-14
1.556E+02  3.857E-24  1.592E-14
1.542E+02  3.953E-24  1.617E-14
1.528E+02  4.051E-24  1.642E-14
1.514E+02  4.153E-24  1.667E-14
1.500E+02  4.257E-24  1.693E-14
1.486E+02  4.365E-24  1.720E-14
1.472E+02  4.476E-24  1.748E-14
1.459E+02  4.589E-24  1.776E-14
1.445E+02  4.705E-24  1.804E-14
