Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 8.000E-01 8.000E-01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 8.000E-01 = <U> 
     mmp83 = radfield
 8.370E-25 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  7.156E-30  7.350E-19
3.837E+03  7.425E-30  7.557E-19
3.802E+03  7.705E-30  7.770E-19
3.767E+03  7.995E-30  7.989E-19
3.733E+03  8.297E-30  8.214E-19
3.698E+03  8.610E-30  8.446E-19
3.664E+03  8.935E-30  8.685E-19
3.631E+03  9.273E-30  8.931E-19
3.597E+03  9.623E-30  9.183E-19
3.565E+03  9.987E-30  9.443E-19
3.532E+03  1.037E-29  9.711E-19
3.499E+03  1.076E-29  9.986E-19
3.467E+03  1.117E-29  1.027E-18
3.436E+03  1.159E-29  1.056E-18
3.404E+03  1.203E-29  1.086E-18
3.373E+03  1.249E-29  1.117E-18
3.342E+03  1.296E-29  1.149E-18
3.311E+03  1.345E-29  1.182E-18
3.281E+03  1.396E-29  1.215E-18
3.251E+03  1.449E-29  1.250E-18
3.221E+03  1.505E-29  1.286E-18
3.192E+03  1.562E-29  1.322E-18
3.162E+03  1.621E-29  1.360E-18
3.133E+03  1.683E-29  1.399E-18
3.105E+03  1.747E-29  1.439E-18
3.076E+03  1.814E-29  1.480E-18
3.048E+03  1.883E-29  1.522E-18
3.020E+03  1.955E-29  1.566E-18
2.992E+03  2.030E-29  1.611E-18
2.965E+03  2.107E-29  1.657E-18
2.938E+03  2.187E-29  1.704E-18
2.911E+03  2.271E-29  1.753E-18
2.884E+03  2.357E-29  1.803E-18
2.858E+03  2.447E-29  1.855E-18
2.831E+03  2.540E-29  1.908E-18
2.805E+03  2.637E-29  1.963E-18
2.780E+03  2.738E-29  2.019E-18
2.754E+03  2.843E-29  2.077E-18
2.729E+03  2.952E-29  2.137E-18
2.704E+03  3.065E-29  2.198E-18
2.679E+03  3.182E-29  2.261E-18
2.655E+03  3.304E-29  2.326E-18
2.630E+03  3.430E-29  2.393E-18
2.606E+03  3.562E-29  2.462E-18
2.582E+03  3.699E-29  2.533E-18
2.559E+03  3.840E-29  2.606E-18
2.535E+03  3.988E-29  2.682E-18
2.512E+03  4.141E-29  2.759E-18
2.489E+03  4.300E-29  2.839E-18
2.466E+03  4.465E-29  2.921E-18
2.443E+03  4.637E-29  3.005E-18
2.421E+03  4.815E-29  3.092E-18
2.399E+03  5.001E-29  3.182E-18
2.377E+03  5.193E-29  3.274E-18
