Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        10 = grain model
 4.000E-08 4.000E-01 5.000E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+01 2.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.500E+01 = <U> 
     mmp83 = radfield
 2.613E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  1.352E-29  1.389E-18
3.837E+03  1.404E-29  1.429E-18
3.802E+03  1.457E-29  1.470E-18
3.767E+03  1.513E-29  1.512E-18
3.733E+03  1.571E-29  1.555E-18
3.698E+03  1.631E-29  1.600E-18
3.664E+03  1.694E-29  1.646E-18
3.631E+03  1.759E-29  1.694E-18
3.597E+03  1.826E-29  1.743E-18
3.565E+03  1.896E-29  1.793E-18
3.532E+03  1.969E-29  1.845E-18
3.499E+03  2.045E-29  1.898E-18
3.467E+03  2.124E-29  1.953E-18
3.436E+03  2.205E-29  2.010E-18
3.404E+03  2.290E-29  2.068E-18
3.373E+03  2.379E-29  2.128E-18
3.342E+03  2.471E-29  2.190E-18
3.311E+03  2.566E-29  2.254E-18
3.281E+03  2.665E-29  2.320E-18
3.251E+03  2.768E-29  2.387E-18
3.221E+03  2.876E-29  2.457E-18
3.192E+03  2.987E-29  2.529E-18
3.162E+03  3.103E-29  2.603E-18
3.133E+03  3.223E-29  2.679E-18
3.105E+03  3.348E-29  2.757E-18
3.076E+03  3.478E-29  2.838E-18
3.048E+03  3.613E-29  2.921E-18
3.020E+03  3.754E-29  3.007E-18
2.992E+03  3.899E-29  3.095E-18
2.965E+03  4.051E-29  3.186E-18
2.938E+03  4.208E-29  3.279E-18
2.911E+03  4.371E-29  3.375E-18
2.884E+03  4.541E-29  3.474E-18
2.858E+03  4.718E-29  3.576E-18
2.831E+03  4.902E-29  3.681E-18
2.805E+03  5.092E-29  3.790E-18
2.780E+03  5.291E-29  3.901E-18
2.754E+03  5.497E-29  4.016E-18
2.729E+03  5.712E-29  4.135E-18
2.704E+03  5.935E-29  4.257E-18
2.679E+03  6.167E-29  4.383E-18
2.655E+03  6.408E-29  4.512E-18
2.630E+03  6.659E-29  4.646E-18
2.606E+03  6.920E-29  4.784E-18
2.582E+03  7.191E-29  4.926E-18
2.559E+03  7.473E-29  5.072E-18
2.535E+03  7.766E-29  5.223E-18
2.512E+03  8.071E-29  5.378E-18
2.489E+03  8.389E-29  5.538E-18
2.466E+03  8.718E-29  5.703E-18
2.443E+03  9.061E-29  5.873E-18
2.421E+03  9.418E-29  6.048E-18
2.399E+03  9.789E-29  6.229E-18
2.377E+03  1.017E-28  6.415E-18
2.355E+03  1.058E-28  6.607E-18
2.333E+03  1.099E-28  6.804E-18
2.312E+03  1.143E-28  7.008E-18
2.291E+03  1.188E-28  7.218E-18
2.270E+03  1.235E-28  7.435E-18
2.249E+03  1.284E-28  7.658E-18
2.228E+03  1.334E-28  7.888E-18
2.208E+03  1.387E-28  8.125E-18
2.188E+03  1.442E-28  8.369E-18
2.168E+03  1.499E-28  8.621E-18
2.148E+03  1.559E-28  8.880E-18
2.128E+03  1.620E-28  9.148E-18
2.109E+03  1.685E-28  9.423E-18
2.089E+03  1.752E-28  9.707E-18
2.070E+03  1.821E-28  1.000E-17
