Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.500E+01 2.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 2.500E+01 = <U> 
     mmp83 = radfield
 2.357E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  1.372E-29  1.409E-18
3.837E+03  1.424E-29  1.450E-18
3.802E+03  1.479E-29  1.491E-18
3.767E+03  1.535E-29  1.534E-18
3.733E+03  1.594E-29  1.578E-18
3.698E+03  1.655E-29  1.624E-18
3.664E+03  1.718E-29  1.670E-18
3.631E+03  1.784E-29  1.718E-18
3.597E+03  1.853E-29  1.768E-18
3.565E+03  1.924E-29  1.819E-18
3.532E+03  1.998E-29  1.871E-18
3.499E+03  2.074E-29  1.926E-18
3.467E+03  2.154E-29  1.981E-18
3.436E+03  2.237E-29  2.039E-18
3.404E+03  2.323E-29  2.098E-18
3.373E+03  2.413E-29  2.159E-18
3.342E+03  2.506E-29  2.221E-18
3.311E+03  2.602E-29  2.286E-18
3.281E+03  2.703E-29  2.352E-18
3.251E+03  2.807E-29  2.421E-18
3.221E+03  2.916E-29  2.491E-18
3.192E+03  3.029E-29  2.564E-18
3.162E+03  3.146E-29  2.639E-18
3.133E+03  3.268E-29  2.716E-18
3.105E+03  3.394E-29  2.795E-18
3.076E+03  3.526E-29  2.877E-18
3.048E+03  3.663E-29  2.961E-18
3.020E+03  3.805E-29  3.048E-18
2.992E+03  3.952E-29  3.137E-18
2.965E+03  4.106E-29  3.229E-18
2.938E+03  4.265E-29  3.323E-18
2.911E+03  4.430E-29  3.420E-18
2.884E+03  4.602E-29  3.521E-18
2.858E+03  4.781E-29  3.624E-18
2.831E+03  4.967E-29  3.730E-18
2.805E+03  5.160E-29  3.840E-18
2.780E+03  5.360E-29  3.953E-18
2.754E+03  5.569E-29  4.069E-18
2.729E+03  5.786E-29  4.189E-18
2.704E+03  6.012E-29  4.312E-18
2.679E+03  6.247E-29  4.439E-18
2.655E+03  6.491E-29  4.570E-18
2.630E+03  6.744E-29  4.705E-18
2.606E+03  7.008E-29  4.845E-18
2.582E+03  7.282E-29  4.988E-18
2.559E+03  7.567E-29  5.136E-18
2.535E+03  7.864E-29  5.288E-18
2.512E+03  8.172E-29  5.445E-18
2.489E+03  8.492E-29  5.607E-18
2.466E+03  8.826E-29  5.773E-18
2.443E+03  9.172E-29  5.945E-18
2.421E+03  9.533E-29  6.122E-18
2.399E+03  9.907E-29  6.304E-18
2.377E+03  1.030E-28  6.492E-18
2.355E+03  1.070E-28  6.686E-18
2.333E+03  1.112E-28  6.885E-18
2.312E+03  1.156E-28  7.091E-18
2.291E+03  1.202E-28  7.303E-18
2.270E+03  1.249E-28  7.521E-18
2.249E+03  1.298E-28  7.747E-18
