Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 2.000E+01 1.000E+03 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 7.984E+01 = <U> 
     mmp83 = radfield
 4.409E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  1.016E-29  1.044E-18
3.837E+03  1.055E-29  1.074E-18
3.802E+03  1.096E-29  1.105E-18
3.767E+03  1.137E-29  1.137E-18
3.733E+03  1.181E-29  1.169E-18
3.698E+03  1.226E-29  1.203E-18
3.664E+03  1.273E-29  1.238E-18
3.631E+03  1.322E-29  1.273E-18
3.597E+03  1.373E-29  1.310E-18
3.565E+03  1.426E-29  1.348E-18
3.532E+03  1.481E-29  1.387E-18
3.499E+03  1.538E-29  1.427E-18
3.467E+03  1.597E-29  1.469E-18
3.436E+03  1.658E-29  1.511E-18
3.404E+03  1.722E-29  1.555E-18
3.373E+03  1.789E-29  1.601E-18
3.342E+03  1.858E-29  1.647E-18
3.311E+03  1.930E-29  1.695E-18
3.281E+03  2.005E-29  1.745E-18
3.251E+03  2.082E-29  1.796E-18
3.221E+03  2.163E-29  1.848E-18
3.192E+03  2.247E-29  1.902E-18
3.162E+03  2.334E-29  1.958E-18
3.133E+03  2.425E-29  2.016E-18
3.105E+03  2.520E-29  2.075E-18
3.076E+03  2.618E-29  2.136E-18
3.048E+03  2.720E-29  2.199E-18
3.020E+03  2.826E-29  2.263E-18
2.992E+03  2.936E-29  2.330E-18
2.965E+03  3.050E-29  2.398E-18
2.938E+03  3.168E-29  2.469E-18
2.911E+03  3.292E-29  2.542E-18
2.884E+03  3.420E-29  2.616E-18
2.858E+03  3.553E-29  2.694E-18
2.831E+03  3.692E-29  2.773E-18
2.805E+03  3.836E-29  2.855E-18
2.780E+03  3.986E-29  2.939E-18
2.754E+03  4.142E-29  3.026E-18
2.729E+03  4.305E-29  3.116E-18
2.704E+03  4.473E-29  3.209E-18
2.679E+03  4.649E-29  3.304E-18
2.655E+03  4.831E-29  3.402E-18
2.630E+03  5.021E-29  3.503E-18
2.606E+03  5.219E-29  3.608E-18
2.582E+03  5.424E-29  3.715E-18
2.559E+03  5.638E-29  3.826E-18
2.535E+03  5.860E-29  3.941E-18
2.512E+03  6.091E-29  4.058E-18
2.489E+03  6.331E-29  4.180E-18
2.466E+03  6.581E-29  4.305E-18
2.443E+03  6.841E-29  4.434E-18
2.421E+03  7.112E-29  4.567E-18
2.399E+03  7.393E-29  4.704E-18
2.377E+03  7.686E-29  4.846E-18
2.355E+03  7.991E-29  4.992E-18
2.333E+03  8.308E-29  5.142E-18
2.312E+03  8.637E-29  5.297E-18
2.291E+03  8.980E-29  5.457E-18
2.270E+03  9.337E-29  5.622E-18
2.249E+03  9.708E-29  5.792E-18
2.228E+03  1.009E-28  5.967E-18
2.208E+03  1.050E-28  6.147E-18
2.188E+03  1.091E-28  6.334E-18
2.168E+03  1.135E-28  6.526E-18
2.148E+03  1.180E-28  6.724E-18
2.128E+03  1.227E-28  6.928E-18
2.109E+03  1.276E-28  7.138E-18
2.089E+03  1.327E-28  7.355E-18
2.070E+03  1.380E-28  7.579E-18
2.051E+03  1.435E-28  7.810E-18
2.032E+03  1.493E-28  8.048E-18
2.014E+03  1.553E-28  8.293E-18
1.995E+03  1.615E-28  8.546E-18
1.977E+03  1.679E-28  8.806E-18
1.959E+03  1.747E-28  9.075E-18
1.941E+03  1.817E-28  9.352E-18
1.923E+03  1.889E-28  9.638E-18
1.905E+03  1.965E-28  9.933E-18
1.888E+03  2.044E-28  1.024E-17
1.871E+03  2.126E-28  1.055E-17
1.854E+03  2.212E-28  1.087E-17
1.837E+03  2.300E-28  1.121E-17
1.820E+03  2.393E-28  1.155E-17
1.803E+03  2.489E-28  1.190E-17
1.786E+03  2.589E-28  1.227E-17
1.770E+03  2.694E-28  1.265E-17
1.754E+03  2.802E-28  1.304E-17
1.738E+03  2.915E-28  1.344E-17
1.722E+03  3.033E-28  1.385E-17
1.706E+03  3.155E-28  1.428E-17
1.690E+03  3.282E-28  1.472E-17
1.675E+03  3.415E-28  1.517E-17
1.660E+03  3.553E-28  1.564E-17
1.644E+03  3.696E-28  1.612E-17
1.629E+03  3.845E-28  1.662E-17
1.614E+03  4.001E-28  1.713E-17
1.600E+03  4.162E-28  1.766E-17
1.585E+03  4.331E-28  1.821E-17
1.570E+03  4.506E-28  1.877E-17
1.556E+03  4.688E-28  1.935E-17
1.542E+03  4.878E-28  1.995E-17
1.528E+03  5.075E-28  2.056E-17
1.514E+03  5.281E-28  2.120E-17
1.500E+03  5.494E-28  2.186E-17
1.486E+03  5.717E-28  2.253E-17
1.472E+03  5.949E-28  2.323E-17
1.459E+03  6.190E-28  2.395E-17
1.445E+03  6.441E-28  2.470E-17
1.432E+03  6.703E-28  2.546E-17
1.419E+03  6.975E-28  2.625E-17
1.406E+03  7.258E-28  2.707E-17
1.393E+03  7.553E-28  2.791E-17
1.380E+03  7.859E-28  2.878E-17
1.368E+03  8.179E-28  2.967E-17
1.355E+03  8.511E-28  3.059E-17
1.343E+03  8.857E-28  3.155E-17
1.330E+03  9.217E-28  3.253E-17
1.318E+03  9.591E-28  3.354E-17
1.306E+03  9.981E-28  3.458E-17
1.294E+03  1.039E-27  3.566E-17
1.282E+03  1.081E-27  3.677E-17
1.271E+03  1.125E-27  3.791E-17
1.259E+03  1.171E-27  3.909E-17
1.247E+03  1.218E-27  4.031E-17
1.236E+03  1.268E-27  4.156E-17
1.225E+03  1.319E-27  4.285E-17
1.213E+03  1.373E-27  4.419E-17
1.202E+03  1.429E-27  4.556E-17
1.191E+03  1.487E-27  4.698E-17
1.180E+03  1.547E-27  4.844E-17
1.169E+03  1.610E-27  4.995E-17
1.159E+03  1.675E-27  5.150E-17
1.148E+03  1.744E-27  5.310E-17
1.138E+03  1.814E-27  5.475E-17
1.127E+03  1.888E-27  5.646E-17
1.117E+03  1.965E-27  5.821E-17
1.107E+03  2.045E-27  6.002E-17
1.096E+03  2.128E-27  6.189E-17
1.086E+03  2.214E-27  6.381E-17
1.076E+03  2.304E-27  6.579E-17
1.067E+03  2.398E-27  6.783E-17
1.057E+03  2.495E-27  6.994E-17
1.047E+03  2.596E-27  7.211E-17
1.038E+03  2.701E-27  7.434E-17
1.028E+03  2.811E-27  7.665E-17
1.019E+03  2.925E-27  7.902E-17
1.009E+03  3.043E-27  8.147E-17
1.000E+03  3.167E-27  8.400E-17
9.908E+02  3.295E-27  8.660E-17
9.817E+02  3.429E-27  8.929E-17
9.727E+02  3.568E-27  9.206E-17
9.638E+02  3.713E-27  9.492E-17
9.550E+02  3.863E-27  9.786E-17
9.462E+02  4.020E-27  1.009E-16
9.376E+02  4.182E-27  1.040E-16
9.290E+02  4.352E-27  1.072E-16
9.204E+02  4.528E-27  1.106E-16
9.120E+02  4.711E-27  1.140E-16
9.036E+02  4.902E-27  1.175E-16
8.954E+02  5.100E-27  1.211E-16
8.872E+02  5.306E-27  1.249E-16
8.790E+02  5.520E-27  1.287E-16
8.710E+02  5.742E-27  1.327E-16
8.630E+02  5.974E-27  1.368E-16
8.551E+02  6.215E-27  1.410E-16
8.472E+02  6.465E-27  1.453E-16
8.395E+02  6.725E-27  1.497E-16
8.318E+02  6.995E-27  1.543E-16
8.241E+02  7.276E-27  1.591E-16
8.166E+02  7.568E-27  1.639E-16
8.091E+02  7.872E-27  1.689E-16
8.017E+02  8.187E-27  1.741E-16
7.943E+02  8.515E-27  1.794E-16
7.870E+02  8.856E-27  1.849E-16
7.798E+02  9.210E-27  1.905E-16
7.727E+02  9.579E-27  1.963E-16
7.656E+02  9.962E-27  2.023E-16
7.586E+02  1.036E-26  2.085E-16
7.516E+02  1.077E-26  2.148E-16
7.447E+02  1.120E-26  2.213E-16
7.379E+02  1.165E-26  2.281E-16
7.311E+02  1.212E-26  2.350E-16
7.244E+02  1.260E-26  2.422E-16
7.178E+02  1.311E-26  2.496E-16
7.112E+02  1.363E-26  2.572E-16
7.047E+02  1.418E-26  2.651E-16
6.982E+02  1.475E-26  2.732E-16
6.918E+02  1.534E-26  2.815E-16
6.855E+02  1.595E-26  2.901E-16
6.792E+02  1.659E-26  2.990E-16
6.730E+02  1.726E-26  3.080E-16
6.668E+02  1.795E-26  3.174E-16
6.607E+02  1.866E-26  3.271E-16
6.546E+02  1.941E-26  3.370E-16
6.486E+02  2.019E-26  3.474E-16
6.427E+02  2.100E-26  3.580E-16
6.368E+02  2.185E-26  3.690E-16
6.310E+02  2.273E-26  3.803E-16
6.252E+02  2.364E-26  3.920E-16
6.194E+02  2.459E-26  4.041E-16
6.138E+02  2.558E-26  4.165E-16
6.081E+02  2.661E-26  4.293E-16
6.026E+02  2.768E-26  4.425E-16
5.970E+02  2.880E-26  4.561E-16
5.916E+02  2.996E-26  4.702E-16
5.861E+02  3.117E-26  4.846E-16
5.808E+02  3.243E-26  4.996E-16
5.754E+02  3.374E-26  5.150E-16
5.702E+02  3.510E-26  5.309E-16
5.649E+02  3.652E-26  5.473E-16
5.598E+02  3.800E-26  5.642E-16
5.546E+02  3.953E-26  5.816E-16
5.495E+02  4.113E-26  5.996E-16
5.445E+02  4.280E-26  6.181E-16
5.395E+02  4.453E-26  6.372E-16
5.346E+02  4.633E-26  6.570E-16
5.297E+02  4.821E-26  6.773E-16
5.248E+02  5.016E-26  6.983E-16
5.200E+02  5.220E-26  7.200E-16
5.152E+02  5.432E-26  7.423E-16
5.105E+02  5.652E-26  7.654E-16
5.058E+02  5.881E-26  7.891E-16
5.012E+02  6.120E-26  8.136E-16
4.966E+02  6.369E-26  8.389E-16
4.920E+02  6.627E-26  8.650E-16
4.875E+02  6.896E-26  8.918E-16
4.831E+02  7.176E-26  9.196E-16
4.786E+02  7.468E-26  9.481E-16
4.742E+02  7.771E-26  9.776E-16
4.699E+02  8.087E-26  1.008E-15
4.656E+02  8.416E-26  1.039E-15
4.613E+02  8.758E-26  1.072E-15
4.571E+02  9.114E-26  1.105E-15
4.529E+02  9.485E-26  1.140E-15
4.487E+02  9.871E-26  1.175E-15
4.446E+02  1.027E-25  1.212E-15
4.406E+02  1.069E-25  1.249E-15
4.365E+02  1.112E-25  1.288E-15
4.325E+02  1.158E-25  1.328E-15
4.285E+02  1.205E-25  1.370E-15
4.246E+02  1.254E-25  1.412E-15
4.207E+02  1.305E-25  1.456E-15
4.169E+02  1.358E-25  1.502E-15
4.130E+02  1.413E-25  1.548E-15
4.093E+02  1.471E-25  1.597E-15
4.055E+02  1.531E-25  1.646E-15
4.018E+02  1.593E-25  1.698E-15
3.981E+02  1.658E-25  1.751E-15
3.945E+02  1.725E-25  1.805E-15
3.908E+02  1.796E-25  1.862E-15
3.873E+02  1.869E-25  1.920E-15
3.837E+02  1.945E-25  1.980E-15
3.802E+02  2.024E-25  2.041E-15
3.767E+02  2.107E-25  2.105E-15
3.733E+02  2.192E-25  2.171E-15
3.698E+02  2.282E-25  2.238E-15
3.664E+02  2.375E-25  2.308E-15
3.631E+02  2.471E-25  2.380E-15
3.597E+02  2.572E-25  2.454E-15
3.565E+02  2.676E-25  2.531E-15
3.532E+02  2.785E-25  2.609E-15
