Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         9 = grain model
 4.000E-08 4.000E-01 2.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.321E+02 = <U> 
     mmp83 = radfield
 1.244E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  1.541E-29  1.583E-18
3.837E+03  1.600E-29  1.628E-18
3.802E+03  1.661E-29  1.675E-18
3.767E+03  1.725E-29  1.723E-18
3.733E+03  1.791E-29  1.773E-18
3.698E+03  1.859E-29  1.824E-18
3.664E+03  1.931E-29  1.876E-18
3.631E+03  2.005E-29  1.931E-18
3.597E+03  2.082E-29  1.986E-18
3.565E+03  2.162E-29  2.044E-18
3.532E+03  2.245E-29  2.103E-18
3.499E+03  2.331E-29  2.164E-18
3.467E+03  2.421E-29  2.227E-18
3.436E+03  2.514E-29  2.291E-18
3.404E+03  2.611E-29  2.358E-18
3.373E+03  2.712E-29  2.427E-18
3.342E+03  2.817E-29  2.497E-18
3.311E+03  2.926E-29  2.570E-18
3.281E+03  3.039E-29  2.645E-18
3.251E+03  3.157E-29  2.722E-18
3.221E+03  3.279E-29  2.802E-18
3.192E+03  3.406E-29  2.884E-18
3.162E+03  3.538E-29  2.968E-18
3.133E+03  3.675E-29  3.055E-18
3.105E+03  3.818E-29  3.144E-18
3.076E+03  3.967E-29  3.237E-18
3.048E+03  4.121E-29  3.332E-18
3.020E+03  4.281E-29  3.429E-18
2.992E+03  4.448E-29  3.530E-18
2.965E+03  4.620E-29  3.634E-18
2.938E+03  4.800E-29  3.740E-18
2.911E+03  4.986E-29  3.850E-18
2.884E+03  5.180E-29  3.963E-18
2.858E+03  5.382E-29  4.079E-18
2.831E+03  5.592E-29  4.200E-18
2.805E+03  5.810E-29  4.323E-18
2.780E+03  6.036E-29  4.451E-18
2.754E+03  6.272E-29  4.582E-18
2.729E+03  6.517E-29  4.717E-18
2.704E+03  6.772E-29  4.857E-18
2.679E+03  7.037E-29  5.001E-18
2.655E+03  7.312E-29  5.149E-18
2.630E+03  7.598E-29  5.301E-18
2.606E+03  7.896E-29  5.459E-18
2.582E+03  8.206E-29  5.621E-18
2.559E+03  8.528E-29  5.788E-18
2.535E+03  8.863E-29  5.960E-18
2.512E+03  9.212E-29  6.138E-18
2.489E+03  9.574E-29  6.321E-18
2.466E+03  9.951E-29  6.509E-18
2.443E+03  1.034E-28  6.703E-18
2.421E+03  1.075E-28  6.904E-18
2.399E+03  1.117E-28  7.110E-18
2.377E+03  1.161E-28  7.323E-18
2.355E+03  1.207E-28  7.542E-18
2.333E+03  1.255E-28  7.768E-18
2.312E+03  1.305E-28  8.001E-18
2.291E+03  1.356E-28  8.241E-18
2.270E+03  1.410E-28  8.488E-18
2.249E+03  1.466E-28  8.744E-18
2.228E+03  1.524E-28  9.007E-18
2.208E+03  1.584E-28  9.278E-18
2.188E+03  1.647E-28  9.557E-18
2.168E+03  1.712E-28  9.845E-18
2.148E+03  1.780E-28  1.014E-17
2.128E+03  1.851E-28  1.045E-17
2.109E+03  1.924E-28  1.076E-17
2.089E+03  2.001E-28  1.109E-17
2.070E+03  2.080E-28  1.142E-17
2.051E+03  2.163E-28  1.177E-17
2.032E+03  2.249E-28  1.213E-17
2.014E+03  2.339E-28  1.249E-17
1.995E+03  2.432E-28  1.287E-17
1.977E+03  2.529E-28  1.326E-17
1.959E+03  2.629E-28  1.366E-17
1.941E+03  2.734E-28  1.408E-17
1.923E+03  2.843E-28  1.450E-17
1.905E+03  2.957E-28  1.494E-17
1.888E+03  3.075E-28  1.540E-17
1.871E+03  3.198E-28  1.587E-17
1.854E+03  3.325E-28  1.635E-17
1.837E+03  3.458E-28  1.685E-17
1.820E+03  3.597E-28  1.736E-17
1.803E+03  3.741E-28  1.789E-17
1.786E+03  3.890E-28  1.844E-17
1.770E+03  4.046E-28  1.900E-17
1.754E+03  4.208E-28  1.958E-17
1.738E+03  4.377E-28  2.018E-17
1.722E+03  4.552E-28  2.079E-17
1.706E+03  4.735E-28  2.143E-17
1.690E+03  4.925E-28  2.208E-17
1.675E+03  5.122E-28  2.276E-17
1.660E+03  5.328E-28  2.345E-17
1.644E+03  5.542E-28  2.417E-17
1.629E+03  5.764E-28  2.491E-17
1.614E+03  5.996E-28  2.568E-17
1.600E+03  6.237E-28  2.646E-17
1.585E+03  6.487E-28  2.727E-17
1.570E+03  6.748E-28  2.811E-17
1.556E+03  7.020E-28  2.897E-17
1.542E+03  7.302E-28  2.986E-17
1.528E+03  7.596E-28  3.078E-17
1.514E+03  7.901E-28  3.172E-17
1.500E+03  8.219E-28  3.270E-17
1.486E+03  8.550E-28  3.370E-17
1.472E+03  8.895E-28  3.474E-17
1.459E+03  9.253E-28  3.581E-17
1.445E+03  9.627E-28  3.691E-17
1.432E+03  1.001E-27  3.805E-17
1.419E+03  1.042E-27  3.922E-17
1.406E+03  1.084E-27  4.043E-17
1.393E+03  1.128E-27  4.167E-17
1.380E+03  1.173E-27  4.296E-17
1.368E+03  1.221E-27  4.428E-17
1.355E+03  1.270E-27  4.565E-17
1.343E+03  1.321E-27  4.706E-17
1.330E+03  1.375E-27  4.851E-17
1.318E+03  1.430E-27  5.001E-17
1.306E+03  1.488E-27  5.155E-17
1.294E+03  1.548E-27  5.314E-17
1.282E+03  1.610E-27  5.478E-17
1.271E+03  1.676E-27  5.647E-17
1.259E+03  1.743E-27  5.821E-17
1.247E+03  1.814E-27  6.001E-17
1.236E+03  1.887E-27  6.186E-17
1.225E+03  1.963E-27  6.377E-17
1.213E+03  2.043E-27  6.574E-17
1.202E+03  2.125E-27  6.777E-17
1.191E+03  2.211E-27  6.986E-17
1.180E+03  2.300E-27  7.202E-17
1.169E+03  2.393E-27  7.424E-17
1.159E+03  2.490E-27  7.654E-17
1.148E+03  2.591E-27  7.890E-17
1.138E+03  2.695E-27  8.133E-17
1.127E+03  2.804E-27  8.384E-17
1.117E+03  2.917E-27  8.643E-17
1.107E+03  3.035E-27  8.910E-17
1.096E+03  3.158E-27  9.185E-17
1.086E+03  3.285E-27  9.468E-17
1.076E+03  3.418E-27  9.760E-17
1.067E+03  3.556E-27  1.006E-16
1.057E+03  3.699E-27  1.037E-16
1.047E+03  3.849E-27  1.069E-16
1.038E+03  4.004E-27  1.102E-16
1.028E+03  4.165E-27  1.136E-16
1.019E+03  4.333E-27  1.171E-16
1.009E+03  4.508E-27  1.207E-16
1.000E+03  4.690E-27  1.244E-16
9.908E+02  4.879E-27  1.282E-16
9.817E+02  5.076E-27  1.322E-16
9.727E+02  5.280E-27  1.363E-16
9.638E+02  5.493E-27  1.404E-16
9.550E+02  5.715E-27  1.448E-16
9.462E+02  5.945E-27  1.492E-16
9.376E+02  6.185E-27  1.538E-16
9.290E+02  6.434E-27  1.585E-16
9.204E+02  6.693E-27  1.634E-16
9.120E+02  6.963E-27  1.684E-16
9.036E+02  7.243E-27  1.736E-16
8.954E+02  7.534E-27  1.789E-16
8.872E+02  7.837E-27  1.844E-16
8.790E+02  8.152E-27  1.901E-16
8.710E+02  8.479E-27  1.959E-16
8.630E+02  8.819E-27  2.019E-16
8.551E+02  9.173E-27  2.080E-16
8.472E+02  9.540E-27  2.144E-16
8.395E+02  9.922E-27  2.209E-16
8.318E+02  1.032E-26  2.277E-16
8.241E+02  1.073E-26  2.346E-16
8.166E+02  1.116E-26  2.417E-16
8.091E+02  1.161E-26  2.491E-16
8.017E+02  1.207E-26  2.567E-16
7.943E+02  1.255E-26  2.645E-16
7.870E+02  1.305E-26  2.725E-16
7.798E+02  1.357E-26  2.807E-16
7.727E+02  1.411E-26  2.892E-16
7.656E+02  1.467E-26  2.980E-16
7.586E+02  1.526E-26  3.070E-16
7.516E+02  1.586E-26  3.163E-16
7.447E+02  1.650E-26  3.259E-16
7.379E+02  1.715E-26  3.358E-16
7.311E+02  1.784E-26  3.459E-16
7.244E+02  1.855E-26  3.564E-16
7.178E+02  1.929E-26  3.673E-16
7.112E+02  2.006E-26  3.784E-16
7.047E+02  2.086E-26  3.899E-16
6.982E+02  2.169E-26  4.017E-16
6.918E+02  2.256E-26  4.139E-16
6.855E+02  2.346E-26  4.265E-16
6.792E+02  2.439E-26  4.394E-16
6.730E+02  2.536E-26  4.527E-16
6.668E+02  2.637E-26  4.664E-16
6.607E+02  2.742E-26  4.805E-16
6.546E+02  2.851E-26  4.951E-16
6.486E+02  2.965E-26  5.102E-16
6.427E+02  3.084E-26  5.257E-16
6.368E+02  3.207E-26  5.418E-16
6.310E+02  3.336E-26  5.583E-16
6.252E+02  3.469E-26  5.754E-16
6.194E+02  3.608E-26  5.929E-16
6.138E+02  3.753E-26  6.110E-16
6.081E+02  3.904E-26  6.297E-16
6.026E+02  4.060E-26  6.490E-16
5.970E+02  4.223E-26  6.688E-16
5.916E+02  4.393E-26  6.893E-16
5.861E+02  4.569E-26  7.104E-16
5.808E+02  4.752E-26  7.321E-16
5.754E+02  4.943E-26  7.545E-16
5.702E+02  5.142E-26  7.777E-16
5.649E+02  5.349E-26  8.015E-16
5.598E+02  5.564E-26  8.261E-16
5.546E+02  5.788E-26  8.515E-16
5.495E+02  6.020E-26  8.776E-16
5.445E+02  6.263E-26  9.046E-16
5.395E+02  6.515E-26  9.324E-16
5.346E+02  6.778E-26  9.610E-16
5.297E+02  7.051E-26  9.906E-16
5.248E+02  7.335E-26  1.021E-15
5.200E+02  7.631E-26  1.053E-15
5.152E+02  7.938E-26  1.085E-15
5.105E+02  8.259E-26  1.118E-15
5.058E+02  8.592E-26  1.153E-15
5.012E+02  8.939E-26  1.188E-15
4.966E+02  9.299E-26  1.225E-15
4.920E+02  9.675E-26  1.263E-15
4.875E+02  1.007E-25  1.302E-15
4.831E+02  1.047E-25  1.342E-15
4.786E+02  1.089E-25  1.383E-15
