Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
        11 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.500E+01 1.500E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.500E+01 = <U> 
     mmp83 = radfield
 8.288E-24 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.873E+03  7.908E-30  8.124E-19
3.837E+03  8.209E-30  8.356E-19
3.802E+03  8.522E-30  8.594E-19
3.767E+03  8.847E-30  8.840E-19
3.733E+03  9.184E-30  9.093E-19
3.698E+03  9.535E-30  9.354E-19
3.664E+03  9.899E-30  9.622E-19
3.631E+03  1.028E-29  9.899E-19
3.597E+03  1.067E-29  1.018E-18
3.565E+03  1.108E-29  1.048E-18
3.532E+03  1.150E-29  1.078E-18
3.499E+03  1.195E-29  1.109E-18
3.467E+03  1.240E-29  1.141E-18
3.436E+03  1.288E-29  1.174E-18
3.404E+03  1.338E-29  1.208E-18
3.373E+03  1.389E-29  1.243E-18
3.342E+03  1.443E-29  1.279E-18
3.311E+03  1.498E-29  1.316E-18
3.281E+03  1.556E-29  1.354E-18
3.251E+03  1.616E-29  1.393E-18
3.221E+03  1.678E-29  1.434E-18
3.192E+03  1.743E-29  1.476E-18
3.162E+03  1.810E-29  1.519E-18
3.133E+03  1.881E-29  1.563E-18
3.105E+03  1.953E-29  1.609E-18
3.076E+03  2.029E-29  1.656E-18
3.048E+03  2.108E-29  1.704E-18
3.020E+03  2.189E-29  1.754E-18
2.992E+03  2.274E-29  1.805E-18
2.965E+03  2.362E-29  1.858E-18
2.938E+03  2.454E-29  1.912E-18
2.911E+03  2.549E-29  1.968E-18
2.884E+03  2.648E-29  2.026E-18
2.858E+03  2.751E-29  2.085E-18
2.831E+03  2.857E-29  2.146E-18
2.805E+03  2.968E-29  2.209E-18
2.780E+03  3.084E-29  2.274E-18
2.754E+03  3.204E-29  2.341E-18
2.729E+03  3.329E-29  2.410E-18
2.704E+03  3.459E-29  2.481E-18
2.679E+03  3.594E-29  2.554E-18
2.655E+03  3.734E-29  2.629E-18
2.630E+03  3.880E-29  2.707E-18
2.606E+03  4.032E-29  2.787E-18
2.582E+03  4.189E-29  2.870E-18
2.559E+03  4.353E-29  2.955E-18
2.535E+03  4.524E-29  3.042E-18
2.512E+03  4.701E-29  3.132E-18
2.489E+03  4.886E-29  3.226E-18
2.466E+03  5.078E-29  3.321E-18
2.443E+03  5.277E-29  3.420E-18
2.421E+03  5.485E-29  3.522E-18
2.399E+03  5.700E-29  3.627E-18
2.377E+03  5.925E-29  3.735E-18
2.355E+03  6.158E-29  3.847E-18
2.333E+03  6.401E-29  3.962E-18
2.312E+03  6.653E-29  4.080E-18
2.291E+03  6.916E-29  4.202E-18
2.270E+03  7.189E-29  4.328E-18
2.249E+03  7.473E-29  4.458E-18
2.228E+03  7.768E-29  4.592E-18
2.208E+03  8.075E-29  4.730E-18
2.188E+03  8.395E-29  4.872E-18
2.168E+03  8.727E-29  5.018E-18
